# word cloud top all for element 口
# token	weight	(optional sources)
one	0.008425	いら立つ,うつ向く,おごり高ぶる,おどり上がる,おびき寄せる,お洒落,かき寄せる,かけずり回る,かけ合う,かけ替える,かじり付く,かぶり付く,からめ手,くり出す,こと切れる,しゃれ込む,すり寄せる,すり足,せき払い,せっぱ詰まる,...
ion	0.006257	あいの手,いず方,うろ憶え,うろ覚え,か所,きき返す,きょう正,こぼれ話,すそ分け,そもそも論,たたき台,つるし上げる,とんぼ帰り,とんぼ返り,のぞき穴,ひざ元,むかっ腹,わき道,アヒル口,ウロ覚え,...
ese	0.005453	あ行,いろは楓,かに玉,か行,そば切,そば切り,わ行,ア行,カ行,ワ行,七言,中ソ,中共,中医,中哲,中文,中朝,中華,中薬,中越,...
up	0.004052	うず高い,うず高く,おごり高ぶる,おどり上がる,お洒落,かい摘む,かかわり合う,かき乱す,かき寄せる,かけ寄る,かけ替える,かっ血,かみ付く,からめ取る,からめ捕る,こと始め,ごみ拾い,しのび寄る,しゃれ込む,すり寄せる,...
fly	0.003708	けり飛ばす,せせり蝶,はね飛ばす,ハエ取り,ハエ叩き,中飛,乱れ飛ぶ,五月蠅,吹き流す,呻り,唸り,国蝶,姫蜂,実蠅,家蠅,寄生蠅,小バエ,小蝿,川螻蛄,揚羽蝶,...
ness	0.003606	あま味,いや味,うま味,うれし泣き,えぐ味,おぼし召し,かんの虫,しびれ感,しゃれっ気,てんてこ舞い,はげ頭,はね返り,ひっ迫,めい福,もの好き,やみ討ち,エグ味,一人ぼっち,一人よがり,一如,...
japan	0.003573	あ行,いろは楓,か行,そば切,そば切り,わ行,ア行,カ行,ワ行,中つ国,中日,仏和,以呂波,仮名,仮字,伊呂波,伊呂波楓,伊和,伴天連,侘び寂び,...
worm	0.003488	いも虫,うじ虫,ぎょう虫,ウジ虫,サナダ虫,回虫,土蛍,夏蚕,天蚕糸,平虫,春蚕,書痴,本読み,条虫,桑蚕,毛蚕,沙蚕,河原蓬,海蛇,田虫,...
out	0.003246	うかがい知る,うろ抜く,おどり出る,おびき出す,かき落とす,かぎ出す,からめ取る,からめ捕る,くり出す,せみ時雨,たたき出す,たたき起こす,つき合う,つまみ出す,とび出る,ねん出,はい出す,はい出る,はき捨てる,はね退ける,...
stone	0.003244	すずり箱,でい岩,丁石,上石,下石,中り,中台,中砥,円石,切り石,切石,刻銘,割り石,割石,力石,区切り,卵塔,原石,句切り,台石,...
back	0.002865	いい返す,からめ手,けり返す,こま送り,そもそも論,ただ今,のみ込む,はね返す,はね返る,はやし方,はり紙,ひっくり返る,へき地,ほめ殺し,もたれ合う,コマ送り,ホメ殺し,中堅,中枢,中衛,...
person	0.002730	あいの子,いなか者,しっかり者,たたき上げ,ただ者,つき合わせる,なまけ者,ひざ元,へな猪口,もく拾い,やかまし屋,テレ屋,モク拾い,一人,一人芝居,一名,一員,一巡り,下司,下種,...
make	0.002633	あざ笑う,うす口,おれ合う,お釈迦,かけずり回る,かけ橋,かずら橋,きし麺,たたき上げ,つくり上げる,との粉,とり結ぶ,どたん場,なれ合う,にわか作り,はやし立てる,ひしめき合う,ぶち砕く,ぼろ儲け,まね事,...
down	0.002525	うつ向く,おどり上がる,かけ替える,かみ付く,がぶ飲み,ぐい呑,ぐい呑み,ぐい飲み,したたり落ちる,すり減らす,すり減る,ずり落ちる,たたき壊す,つき砕く,なだれ落ちる,のど越し,のみ込む,はたき込み,ひっくり返す,ひっくり返る,...
name	0.002523	あだ名,あて名,おくり名,しこ名,ひざ元,一名,上記,中黒,云う,人名,仇名,仏名,仮名,何,俗名,倭名,偏諱,偽名,元号,党名,...
be	0.002332	あっ気,すそ分け,てんてこ舞い,とぎ汁,どさ回り,ばつ一,ひっ迫,ひとり歩き,ひとり立ち,らい落,ドサ回り,ドサ廻り,一人,一人勝ち,一人歩き,三高,不智,不知,不調,中折れ,...
cricket	0.002290	松虫,虫,螻蛄,螽斯,螽蟖,蟋蟀,蟲,鈴虫,闘蟋
over	0.002213	いい返す,かけずり回る,かけ合う,かけ寄る,かけ渡す,くり返す,こぼれ落ちる,とんぼ帰り,とんぼ返り,なめ回す,はい上がる,ひっくり返す,ひっくり返る,ぼう然,ゆずり受ける,ゆで汁,トンボ帰り,トンボ返り,一躍,下げ膳,...
chin	0.002153	かに玉,七言,中ソ,中共,中医,中哲,中文,中朝,中華,中薬,乎古止点,五倍子の木,五言,伊吹,倭寇,倭訓,八咫烏,加点,古文,古訳,...
