word,ipa
み,m.i
り,ɾ.i
く,k.ɯ
か,k.a
さ,s.a
し,ɕ.i
す,s.ɯ
た,t.a
て,t.e
と,t.o
な,n.a
の,n.o
は,h.a
ひ,ç.i
ふ,ɸ.ɯ
ほ,h.o
ま,m.a
む,m.ɯ
も,m.o
ゆ,j.ɯ
よ,j.o
ら,ɾ.a
る,ɾ.ɯ
ろ,ɾ.o
わ,w.a
を,o
ん,N
あ,a
い,i
う,ɯ
え,e
お,o
人,ɲ.i.N
日,n.i.t.i
木,k.o.k.ɯ
火,ç.i
水,m.i.z.ɯ
金,k.i.N
土,t.o
山,j.a.m.a
川,k.a.w.a
空,s.o.ɾ.a
月,t.s.ɯ.k.i
星,h.o.s.i
雨,a.m.e
雪,j.ɯ.k.i
風,k.a.z.e
大,o.o.k.i
小,t.i.i.s.a.i
高,t.a.k.a.i
低,h.i.k.u.i
長,n.a.ɡ.a.i
短,m.i.j.a
新,a.t.a.ɾ.a.s.i.i
古,f.ɯ.ɾ.u.i
上,ɯ.e
下,s.i.t.a
中,n.a.k.a
右,m.i.ɡ.i
左,h.i.d.a.ɾ.i
前,m.a.e
後,ɯ.s.i.ɾ.o
東,h.i.ɡ.a.s.i
西,n.i.s.i
南,m.i.n.a.m.i
北,k.i.t.a
学,m.a.n.a.b.u
校,k.o.o
先,s.e.N
生,s.e.i
食,t.a.b.e.ɾ.u
飲,n.o.m.u
寝,n.e.ɾ.u
起,o.k.i.ɾ.u
見,m.i.ɾ.u
聞,k.i.k.u
読,j.o.m.u
書,k.a.k.u
が,ɡ.a
ぎ,ɡ.i
ぐ,ɡ.ɯ
げ,ɡ.e
ご,ɡ.o
ざ,z.a
じ,ʑ.i
ず,z.ɯ
ぜ,z.e
ぞ,z.o
だ,d.a
ぢ,d.i
づ,d.ɯ
で,d.e
ど,d.o
ば,b.a
び,b.i
ぶ,b.ɯ
べ,b.e
ぼ,b.o
ぱ,p.a
ぴ,p.i
ぷ,p.ɯ
ぺ,p.e
ぽ,p.o
