# word cloud top all for element 㐮
# token	weight	(optional sources)
ferment	0.068509	醸成
world	0.059946	黄壌
miss	0.047956	嬢
unmarry	0.047956	嬢
woman	0.047956	嬢
es	0.047956	嬢
ette	0.047956	嬢
brew	0.034255	醸成
arouse	0.034255	醸成
cause	0.034255	醸成
create	0.034255	醸成
bring	0.034255	醸成
give	0.032698	譲る
yellow	0.029973	黄壌
soil	0.029973	黄壌
loess	0.029973	黄壌
had	0.029973	黄壌
hell	0.029973	黄壌
under	0.029973	黄壌
dead	0.029973	黄壌
over	0.021798	譲る
sell	0.010899	譲る
up	0.010899	譲る
way	0.010899	譲る
postpone	0.010899	譲る
put	0.010899	譲る
off	0.010899	譲る
defer	0.010899	譲る
yield	0.010899	譲る
con	0.010899	譲る
cede	0.010899	譲る
grind	0.010899	譲る
surrender	0.010899	譲る
hand	0.010899	譲る
transfer	0.010899	譲る
turn	0.010899	譲る
assign	0.010899	譲る
convey	0.010899	譲る
bequeath	0.010899	譲る
