# word cloud top all for element 㔾
# token	weight	(optional sources)
cup	0.130000	酒盃
sake	0.065000	酒盃
alcoholic	0.065000	酒盃
beverage	0.065000	酒盃
violate	0.059091	犯す
move	0.050000	捲く
commit	0.029545	犯す
perpetrate	0.029545	犯す
make	0.029545	犯す
break	0.029545	犯す
transgress	0.029545	犯す
contravene	0.029545	犯す
rape	0.029545	犯す
ravish	0.029545	犯す
deflower	0.029545	犯す
link	0.025000	捲く
envelope	0.025000	捲く
shroud	0.025000	捲く
ahead	0.025000	捲く
up	0.025000	捲く
out	0.025000	捲く
flank	0.025000	捲く
skirt	0.025000	捲く
wind	0.025000	捲く
coil	0.025000	捲く
roll	0.025000	捲く
wear	0.025000	捲く
