# word cloud top all for element 丂
# token	weight	(optional sources)
white	0.163018	白栲
cloth	0.081509	白栲
forget	0.040755	朽ちる
time	0.040755	朽ちる
die	0.040755	朽ちる
obscurity	0.040755	朽ちる
rot	0.040755	朽ちる
decay	0.040755	朽ちる
think	0.033044	考える
plot	0.015283	巧み
scheme	0.015283	巧み
artifice	0.015283	巧み
trick	0.015283	巧み
craft	0.015283	巧み
craftsman	0.015283	巧み
ship	0.015283	巧み
skill	0.015283	巧み
dexterity	0.015283	巧み
design	0.015283	巧み
skillful	0.015283	巧み
adroit	0.015283	巧み
dexterous	0.015283	巧み
masterful	0.015283	巧み
clever	0.015283	巧み
ingenious	0.015283	巧み
cun	0.015283	巧み
up	0.013218	考える
consider	0.013218	考える
take	0.013218	考える
intend	0.006609	考える
plan	0.006609	考える
come	0.006609	考える
contrive	0.006609	考える
devise	0.006609	考える
bear	0.006609	考える
mind	0.006609	考える
allow	0.006609	考える
consideration	0.006609	考える
predict	0.006609	考える
anticipate	0.006609	考える
expect	0.006609	考える
imagine	0.006609	考える
regard	0.006609	考える
look	0.006609	考える
view	0.006609	考える
over	0.006609	考える
ponder	0.006609	考える
con	0.006609	考える
template	0.006609	考える
reflect	0.006609	考える
meditate	0.006609	考える
believe	0.006609	考える
hold	0.006609	考える
judge	0.006609	考える
conclude	0.006609	考える
suspect	0.006609	考える
