# word cloud top all for element 丑
# token	weight	(optional sources)
button	0.121557	鈕
defeat	0.108051	敗衄
shameful	0.077179	忸怩,羞ずかしい
asham	0.077179	忸怩,羞ずかしい
bashful	0.054025	忸怩
be	0.054025	敗衄
embarrass	0.046308	羞ずかしい
push	0.040519	鈕
north	0.036017	丑
ox	0.036017	丑
disgraceful	0.023154	羞ずかしい
humiliate	0.023154	羞ずかしい
shy	0.023154	羞ずかしい
hour	0.018008	丑
east	0.018008	丑
twelfth	0.018008	丑
month	0.018008	丑
lunar	0.018008	丑
calendar	0.018008	丑
leash	0.009534	紐
mantle	0.009534	紐
restrict	0.009534	紐
ion	0.009534	紐
condition	0.009534	紐
small	0.009534	紐
intestine	0.009534	紐
oviduct	0.009534	紐
meat	0.009534	紐
string	0.009534	紐
cord	0.009534	紐
man	0.009534	紐
who	0.009534	紐
financially	0.009534	紐
dependent	0.009534	紐
woman	0.009534	紐
gigolo	0.009534	紐
pimp	0.009534	紐
