# word cloud top all for element 並
# token	weight	(optional sources)
grade	0.057143	並み
record	0.040476	譜
game	0.040476	譜
go	0.040476	譜
shogi	0.040476	譜
chess	0.040476	譜
etc	0.040476	譜
genealogy	0.040476	譜
family	0.040476	譜
tree	0.040476	譜
music	0.040476	譜
note	0.040476	譜
score	0.040476	譜
each	0.028571	並み
every	0.028571	並み
mid	0.028571	並み
regular	0.028571	並み
row	0.028571	並み
line	0.028571	並み
ave	0.028571	並み
rage	0.028571	並み
medium	0.028571	並み
common	0.028571	並み
ordinary	0.028571	並み
same	0.028571	並み
level	0.028571	並み
equal	0.028571	並み
equivalent	0.028571	並み
par	0.028571	並み
