# word cloud top all for element 乃
# token	weight	(optional sources)
beautiful	0.061667	錦繡
one	0.050598	携える
take	0.041225	携える,誘う,通る
come	0.031966	盈ちる,通る
along	0.030798	携える,誘う,通る
carry	0.027521	携える,通る
fill	0.025299	盈ちる
fabric	0.020556	錦繡
go	0.020000	通る
namely	0.018272	輒ち
precisely	0.018272	輒ち
exactly	0.018272	輒ち
just	0.018272	輒ち
noth	0.018272	輒ち
neither	0.018272	輒ち
more	0.018272	輒ち
nor	0.018272	輒ち
less	0.018272	輒ち
induce	0.013704	誘う
arouse	0.013704	誘う
provoke	0.013704	誘う
invite	0.013704	誘う
ask	0.013704	誘う
call	0.013704	誘う
tempt	0.013704	誘う
lure	0.013704	誘う
entice	0.013704	誘う
seduce	0.013704	誘う
accompany	0.012650	携える
hand	0.012650	携える
person	0.012650	携える
bear	0.012650	携える
wax	0.012650	盈ちる
expire	0.012650	盈ちる
mature	0.012650	盈ちる
end	0.012650	盈ちる
rise	0.012650	盈ちる
flow	0.012650	盈ちる
become	0.012650	盈ちる
full	0.012650	盈ちる
brim	0.012650	盈ちる
autumn	0.010278	錦繡
leaf	0.010278	錦繡
flower	0.010278	錦繡
poem	0.010278	錦繡
word	0.010278	錦繡
brocade	0.010278	錦繡
embroidery	0.010278	錦繡
clothe	0.010278	錦繡
through	0.008889	通る
pas	0.006667	通る
able	0.004444	通る
do	0.004444	通る
across	0.004444	通る
accept	0.004444	通る
straight	0.002222	通る
well	0.002222	通る
inform	0.002222	通る
wise	0.002222	通る
reach	0.002222	通る
far	0.002222	通る
completely	0.002222	通る
thoroughly	0.002222	通る
get	0.002222	通る
under	0.002222	通る
stand	0.002222	通る
pass	0.002222	通る
relay	0.002222	通る
convey	0.002222	通る
app	0.002222	通る
rove	0.002222	通る
seem	0.002222	通る
like	0.002222	通る
permeate	0.002222	通る
soak	0.002222	通る
spread	0.002222	通る
out	0.002222	通る
run	0.002222	通る
operate	0.002222	通る
conn	0.002222	通る
ect	0.002222	通る
know	0.002222	通る
reputation	0.002222	通る
penetrate	0.002222	通る
pierce	0.002222	通る
skewer	0.002222	通る
coherent	0.002222	通る
log	0.002222	通る
ical	0.002222	通る
reason	0.002222	通る
comprehensible	0.002222	通る
understand	0.002222	通る
make	0.002222	通る
sense	0.002222	通る
indoor	0.002222	通る
room	0.002222	通る
admit	0.002222	通る
show	0.002222	通る
usher	0.002222	通る
past	0.002222	通る
travel	0.002222	通る
use	0.002222	通る
via	0.002222	通る
way	0.002222	通る
