# word cloud top all for element 乎
# token	weight	(optional sources)
yeah	0.056697	於戯
call	0.048193	呼出し
hey	0.028349	於戯
yo	0.028349	於戯
aah	0.028349	於戯
gah	0.028349	於戯
argh	0.028349	於戯
ah	0.028349	於戯
oh	0.028349	於戯
ala	0.028349	於戯
yes	0.028349	於戯
inde	0.028349	於戯
correct	0.028349	於戯
uh	0.028349	於戯
huh	0.028349	於戯
right	0.028349	於戯
gotcha	0.028349	於戯
prostitute	0.024096	呼出し
district	0.024096	呼出し
tele	0.024096	呼出し
phone	0.024096	呼出し
box	0.012048	呼出し
shape	0.012048	呼出し
area	0.012048	呼出し
contain	0.012048	呼出し
clean	0.012048	呼出し
water	0.012048	呼出し
rinse	0.012048	呼出し
one	0.012048	呼出し
self	0.012048	呼出し
high	0.012048	呼出し
rank	0.012048	呼出し
yoshiwara	0.012048	呼出し
number	0.012048	呼出し
person	0.012048	呼出し
without	0.012048	呼出し
reach	0.012048	呼出し
unlicens	0.012048	呼出し
fukagawa	0.012048	呼出し
red	0.012048	呼出し
light	0.012048	呼出し
usher	0.012048	呼出し
who	0.012048	呼出し
name	0.012048	呼出し
wrestler	0.012048	呼出し
sweep	0.012048	呼出し
ring	0.012048	呼出し
etc	0.012048	呼出し
invocation	0.012048	呼出し
summon	0.012048	呼出し
page	0.012048	呼出し
curtain	0.012048	呼出し
