# word cloud top all for element 乗
# token	weight	(optional sources)
staff	0.133333	剰員
use	0.066667	剰員
less	0.066667	剰員
supernumerary	0.066667	剰員
superfluous	0.066667	剰員
excess	0.066667	剰員
personnel	0.066667	剰員
get	0.058333	乘る
take	0.058333	乘る
go	0.043750	乘る
swing	0.014583	乘る
deceive	0.014583	乘る
carry	0.014583	乘る
spread	0.014583	乘る
scatter	0.014583	乘る
follow	0.014583	乘る
stay	0.014583	乘る
reach	0.014583	乘る
over	0.014583	乘る
pas	0.014583	乘る
part	0.014583	乘る
participate	0.014583	乘る
join	0.014583	乘る
stick	0.014583	乘る
attach	0.014583	乘る
step	0.014583	乘る
jump	0.014583	乘る
sit	0.014583	乘る
mount	0.014583	乘る
board	0.014583	乘る
embark	0.014583	乘る
