# word cloud top all for element 亥
# token	weight	(optional sources)
hundr	0.053368	垓
quintillion	0.053368	垓
infant	0.053368	孩児
baby	0.053368	孩児
nucleu	0.031393	核
laugh	0.026684	謦咳
boar	0.021347	亥
north	0.021347	亥
impeachment	0.021347	弾劾
denunciation	0.021347	弾劾
accusation	0.021347	弾劾
censure	0.021347	弾劾
arraignment	0.021347	弾劾
core	0.018836	核
be	0.017789	該当
under	0.017789	該当
mere	0.017789	形骸
cough	0.013342	謦咳
hawk	0.013342	謦咳
talk	0.013342	謦咳
same	0.013342	謦咳
time	0.013342	謦咳
speak	0.013342	謦咳
hour	0.010674	亥
west	0.010674	亥
tenth	0.010674	亥
month	0.010674	亥
lunar	0.010674	亥
calendar	0.010674	亥
pig	0.010674	亥
cor	0.008895	該当
respond	0.008895	該当
applicable	0.008895	該当
relevant	0.008895	該当
come	0.008895	該当
fall	0.008895	該当
fulfil	0.008895	該当
meet	0.008895	該当
qualify	0.008895	該当
body	0.008895	形骸
shell	0.008895	形骸
name	0.008895	形骸
dead	0.008895	形骸
letter	0.008895	形骸
frame	0.008895	形骸
work	0.008895	形骸
skeleton	0.008895	形骸
remain	0.008895	形骸
ruin	0.008895	形骸
wreck	0.008895	形骸
condensation	0.006279	核
nucl	0.006279	核
ear	0.006279	核
weapon	0.006279	核
ring	0.006279	核
kernel	0.006279	核
heart	0.006279	核
stone	0.006279	核
pit	0.006279	核
pip	0.006279	核
tattoo	0.004641	刻む
torment	0.004641	刻む
etch	0.004641	刻む
rem	0.004641	刻む
ember	0.004641	刻む
distinctly	0.004641	刻む
tick	0.004641	刻む
away	0.004641	刻む
beat	0.004641	刻む
out	0.004641	刻む
record	0.004641	刻む
pass	0.004641	刻む
moment	0.004641	刻む
carve	0.004641	刻む
engrave	0.004641	刻む
chisel	0.004641	刻む
notch	0.004641	刻む
mince	0.004641	刻む
cut	0.004641	刻む
fine	0.004641	刻む
chop	0.004641	刻む
up	0.004641	刻む
hash	0.004641	刻む
shr	0.004641	刻む
