# word cloud top all for element 亦
# token	weight	(optional sources)
love	0.102108	恋情
bay	0.051054	内湾
curve	0.051054	湾曲
bend	0.051054	湾曲
crook	0.051054	湾曲
sickness	0.051054	恋情
attachment	0.051054	恋情
enclose	0.025527	内湾
inlet	0.025527	内湾
deep	0.025527	内湾
basin	0.025527	内湾
other	0.018379	復
more	0.018379	復
time	0.017723	南蛮,復
wise	0.012253	復
again	0.012253	復
once	0.012253	復
chili	0.010940	南蛮
pepper	0.010940	南蛮
right	0.010940	南蛮
major	0.009010	大変
incident	0.009010	大変
disaster	0.009010	大変
difficult	0.009010	大変
hard	0.009010	大変
challenge	0.009010	大変
immense	0.009010	大変
enormous	0.009010	大変
great	0.009010	大変
serious	0.009010	大変
grave	0.009010	大変
dreadful	0.009010	大変
terrible	0.009010	大変
very	0.009010	大変
greatly	0.009010	大変
terribly	0.009010	大変
awfully	0.009010	大変
indirect	0.006126	復
hand	0.006126	復
while	0.006126	復
really	0.006126	復
how	0.006126	復
earth	0.006126	復
too	0.006126	復
well	0.006126	復
like	0.006126	復
another	0.006126	復
some	0.006126	復
addition	0.006126	復
besid	0.006126	復
over	0.006126	復
further	0.006126	復
south	0.005470	南蛮
east	0.005470	南蛮
asian	0.005470	南蛮
country	0.005470	南蛮
western	0.005470	南蛮
europe	0.005470	南蛮
southern	0.005470	南蛮
barbarian	0.005470	南蛮
thrust	0.005470	南蛮
foot	0.005470	南蛮
arm	0.005470	南蛮
forward	0.005470	南蛮
same	0.005470	南蛮
foreign	0.005470	南蛮
exotic	0.005470	南蛮
nanban	0.005470	南蛮
dish	0.005470	南蛮
pre	0.005470	南蛮
pare	0.005470	南蛮
use	0.005470	南蛮
welsh	0.005470	南蛮
onion	0.005470	南蛮
