# word cloud top all for element 余
# token	weight	(optional sources)
toad	0.135167	蟾蜍
confer	0.033792	叙する
relate	0.033792	叙する
narrate	0.033792	叙する
describe	0.033792	叙する
much	0.025746	餘り
over	0.025746	餘り
remain	0.025746	餘り
way	0.023259	道,除ける
calm	0.022528	徐徐
com	0.022528	徐徐
pose	0.022528	徐徐
relax	0.022528	徐徐
slow	0.022528	徐徐
gradual	0.022528	徐徐
steady	0.022528	徐徐
do	0.014482	除ける
very	0.012873	餘り
more	0.012873	餘り
too	0.012873	餘り
excessively	0.012873	餘り
overly	0.012873	餘り
extreme	0.012873	餘り
great	0.012873	餘り
severe	0.012873	餘り
tremendous	0.012873	餘り
terrible	0.012873	餘り
der	0.012873	餘り
remnant	0.012873	餘り
rest	0.012873	餘り
balance	0.012873	餘り
surplu	0.012873	餘り
left	0.012873	餘り
road	0.012288	道
despite	0.009655	除ける
aside	0.009655	除ける
remove	0.009655	除ける
distance	0.006144	道
journey	0.006144	道
course	0.006144	道
route	0.006144	道
tea	0.006144	道
ching	0.006144	道
dogma	0.006144	道
moral	0.006144	道
principle	0.006144	道
field	0.006144	道
subject	0.006144	道
special	0.006144	道
ity	0.006144	道
mean	0.006144	道
method	0.006144	道
path	0.006144	道
street	0.006144	道
lane	0.006144	道
pas	0.006144	道
sage	0.006144	道
resolutely	0.004827	除ける
boldly	0.004827	除ける
well	0.004827	除ける
difficulty	0.004827	除ける
accomplish	0.004827	除ける
adversity	0.004827	除ける
put	0.004827	除ける
someth	0.004827	除ける
out	0.004827	除ける
move	0.004827	除ける
group	0.004827	除ける
shun	0.004827	除ける
set	0.004827	除ける
keep	0.004827	除ける
apart	0.004827	除ける
exclude	0.004827	除ける
take	0.004827	除ける
away	0.004827	除ける
