# word cloud top all for element 倉
# token	weight	(optional sources)
lance	0.092923	鑓
javelin	0.046462	鑓
jeer	0.046462	鑓
spear	0.046462	鑓
small	0.038718	疱瘡
pox	0.038718	疱瘡
ship	0.038718	船艙
hold	0.038718	船艙
hatch	0.038718	船艙
blue	0.019359	青
green	0.019359	青
pockmark	0.019359	疱瘡
vaccination	0.019359	疱瘡
against	0.019359	疱瘡
variola	0.019359	疱瘡
wooden	0.017870	矢倉
stagger	0.010559	蹌踉めく
stumble	0.010559	蹌踉めく
totter	0.010559	蹌踉めく
misconduct	0.010559	蹌踉めく
one	0.010559	蹌踉めく
self	0.010559	蹌踉めく
love	0.010559	蹌踉めく
affair	0.010559	蹌踉めく
waver	0.010559	蹌踉めく
feel	0.010559	蹌踉めく
some	0.010559	蹌踉めく
inclination	0.010559	蹌踉めく
black	0.009679	青
point	0.009679	青
card	0.009679	青
light	0.009679	青
azure	0.009679	青
immature	0.009679	青
unripe	0.009679	青
young	0.009679	青
make	0.009418	造る
weapon	0.008935	矢倉
store	0.008935	矢倉
house	0.008935	矢倉
frame	0.008935	矢倉
high	0.008935	矢倉
stage	0.008935	矢倉
scaffold	0.008935	矢倉
turret	0.008935	矢倉
watch	0.008935	矢倉
tower	0.008935	矢倉
yagura	0.008935	矢倉
fortress	0.008935	矢倉
up	0.006279	造る
pre	0.006279	造る
pare	0.006279	造る
commit	0.003139	造る
fabricate	0.003139	造る
form	0.003139	造る
set	0.003139	造る
till	0.003139	造る
create	0.003139	造る
com	0.003139	造る
pose	0.003139	造る
brew	0.003139	造る
give	0.003139	造る
appearance	0.003139	造る
feign	0.003139	造る
put	0.003139	造る
show	0.003139	造る
emotion	0.003139	造る
draw	0.003139	造る
out	0.003139	造る
write	0.003139	造る
raise	0.003139	造る
grow	0.003139	造る
cultivate	0.003139	造る
train	0.003139	造る
coin	0.003139	造る
organize	0.003139	造る
organ	0.003139	造る
ise	0.003139	造る
establish	0.003139	造る
find	0.003139	造る
produce	0.003139	造る
manufacture	0.003139	造る
build	0.003139	造る
construct	0.003139	造る
