# word cloud top all for element 先
# token	weight	(optional sources)
pig	0.059925	製銑
iron	0.059925	製銑
bare	0.044944	跣
foot	0.044944	跣
superior	0.044944	跣
outdo	0.044944	跣
out	0.044944	跣
shine	0.044944	跣
make	0.041199	茶筌,製銑
wash	0.035955	洗う
manufacture	0.029963	製銑
hair	0.022472	茶筌
tea	0.022472	茶筌
whisk	0.022472	茶筌
purify	0.017978	洗う
inquire	0.017978	洗う
investigate	0.017978	洗う
lave	0.017978	洗う
over	0.017978	洗う
sweep	0.017978	洗う
cleanse	0.017978	洗う
rinse	0.017978	洗う
head	0.017228	前,茶筌
where	0.017228	前,茶筌
ahead	0.011985	前
style	0.011236	茶筌
tie	0.011236	茶筌
up	0.011236	茶筌
bundle	0.011236	茶筌
back	0.011236	茶筌
bamboo	0.011236	茶筌
japan	0.011236	茶筌
ese	0.011236	茶筌
future	0.005993	前
other	0.005993	前
party	0.005993	前
beyond	0.005993	前
front	0.005993	前
destination	0.005993	前
address	0.005993	前
place	0.005993	前
you	0.005993	前
do	0.005993	前
someth	0.005993	前
first	0.005993	前
before	0.005993	前
rest	0.005993	前
continuation	0.005993	前
remain	0.005993	前
part	0.005993	前
point	0.005993	前
tip	0.005993	前
end	0.005993	前
nozzle	0.005993	前
previous	0.005993	前
prior	0.005993	前
former	0.005993	前
recent	0.005993	前
last	0.005993	前
