# word cloud top all for element 其
# token	weight	(optional sources)
winnow	0.053360	箕
go	0.050819	棋局
shogi	0.050819	棋局
gas	0.034800	瓦斯
neigh	0.029644	嘶き
whinny	0.029644	嘶き
bray	0.029644	嘶き
giraffe	0.029644	麒麟
horse	0.029644	麒麟
ride	0.029644	麒麟
ri	0.029644	麒麟
day	0.029644	麒麟
qilin	0.029644	麒麟
board	0.025409	棋局
position	0.025409	棋局
game	0.025409	棋局
ion	0.021739	其方,期,素
your	0.019763	其方
basket	0.017787	箕
fan	0.017787	箕
coax	0.012705	騙す
wheedle	0.012705	騙す
soothe	0.012705	騙す
humor	0.012705	騙す
trick	0.012705	騙す
cheat	0.012705	騙す
deceive	0.012705	騙す
person	0.009881	其方
there	0.009881	其方
way	0.009881	其方
direct	0.009881	其方
you	0.009881	其方
family	0.009881	其方
company	0.009881	其方
age	0.008893	期
season	0.008893	期
sess	0.008893	期
stage	0.008893	期
term	0.008893	期
period	0.008893	期
time	0.008893	期
opportunity	0.008893	期
chance	0.008893	期
occasion	0.008893	期
fog	0.007733	瓦斯
trunk	0.005929	素
root	0.005929	素
base	0.005929	素
yarn	0.003867	瓦斯
poison	0.003867	瓦斯
dense	0.003867	瓦斯
thick	0.003867	瓦斯
stave	0.003867	瓦斯
cooker	0.003867	瓦斯
range	0.003867	瓦斯
gasoline	0.003867	瓦斯
petrol	0.003867	瓦斯
flatulence	0.003867	瓦斯
wind	0.003867	瓦斯
fart	0.003867	瓦斯
cause	0.002964	素
counter	0.002964	素
blade	0.002964	素
grass	0.002964	素
tree	0.002964	素
etc	0.002964	素
falcon	0.002964	素
first	0.002964	素
sect	0.002964	素
waka	0.002964	素
original	0.002964	素
cost	0.002964	素
side	0.002964	素
location	0.002964	素
handle	0.002964	素
grip	0.002964	素
origin	0.002964	素
source	0.002964	素
basi	0.002964	素
foundation	0.002964	素
ingredient	0.002964	素
material	0.002964	素
mix	0.002964	素
stock	0.002964	素
