# word cloud top all for element 具
# token	weight	(optional sources)
club	0.049632	倶楽部
tornado	0.033088	颶風
hurricane	0.033088	颶風
typhoon	0.033088	颶風
fraternity	0.024816	倶楽部
sorority	0.024816	倶楽部
house	0.024816	倶楽部
place	0.022059	篏める
be	0.021271	動顛
truth	0.019853	真
ness	0.019853	真
over	0.016544	顛倒
turn	0.016544	顛倒
upset	0.015362	動顛,顛倒
put	0.015345	篏める,静める
ease	0.012948	静める
down	0.012588	静める,顛倒
get	0.012588	静める,顛倒
reverent	0.011029	謹む
careful	0.011029	謹む
discreet	0.011029	謹む
purify	0.011029	謹む
chaste	0.011029	謹む
do	0.011029	謹む
mode	0.011029	謹む
ration	0.011029	謹む
refrain	0.011029	謹む
abstain	0.011029	謹む
throw	0.011029	篏める
sex	0.011029	篏める
fuck	0.011029	篏める
fit	0.011029	篏める
insert	0.011029	篏める
fasten	0.011029	篏める
pigeon	0.011029	篏める
hole	0.011029	篏める
force	0.011029	篏める
around	0.011029	篏める
attach	0.011029	篏める
entrap	0.011029	篏める
take	0.011029	篏める
set	0.011029	篏める
up	0.011029	篏める
deceive	0.011029	篏める
print	0.009926	真
style	0.009926	真
write	0.009926	真
serious	0.009926	真
star	0.009926	真
per	0.009926	真
former	0.009926	真
real	0.009926	真
ity	0.009926	真
genuine	0.009926	真
app	0.008632	静める
pacify	0.008632	静める
soothe	0.008632	静める
quiet	0.008632	静める
reverse	0.008272	顛倒
invert	0.008272	顛倒
inversion	0.008272	顛倒
fall	0.008272	顛倒
tumble	0.008272	顛倒
transit	0.007090	動顛
ion	0.007090	動顛
change	0.007090	動顛
move	0.007090	動顛
disturbance	0.007090	動顛
mind	0.007090	動顛
lose	0.007090	動顛
one	0.007090	動顛
head	0.007090	動顛
astonish	0.007090	動顛
frighten	0.007090	動顛
quieten	0.004316	静める
make	0.004316	静める
relieve	0.004316	静める
alleviate	0.004316	静める
suppress	0.004316	静める
quell	0.004316	静める
under	0.004316	静める
control	0.004316	静める
calm	0.004316	静める
com	0.004316	静める
pose	0.004316	静める
settle	0.004316	静める
