# word cloud top all for element 兼
# token	weight	(optional sources)
poor	0.044023	凶歉
crop	0.044023	凶歉
famine	0.044023	凶歉
mode	0.033017	謙遜
sty	0.033017	謙遜
humility	0.033017	謙遜
be	0.033017	謙遜
humble	0.033017	謙遜
coax	0.033017	賺す
cajole	0.033017	賺す
humour	0.033017	賺す
wheedle	0.033017	賺す
curtain	0.017609	暖簾
good	0.017609	暖簾
one	0.017609	一角
do	0.015239	兼ねる
two	0.015239	兼ねる
more	0.015239	兼ねる
someth	0.013884	一角,兼ねる
sickle	0.013207	鎌
quest	0.013207	鎌
ion	0.013207	鎌
simultaneously	0.010159	兼ねる
field	0.008805	一角
matter	0.008805	一角
suitably	0.008805	一角
reasonably	0.008805	一角
cut	0.008805	一角
above	0.008805	一角
rest	0.008805	一角
superior	0.008805	一角
respect	0.008805	一角
able	0.008805	一角
full	0.008805	一角
fledge	0.008805	一角
uncommon	0.008805	一角
will	0.008805	暖簾
hang	0.008805	暖簾
shop	0.008805	暖簾
entrance	0.008805	暖簾
split	0.008805	暖簾
use	0.008805	暖簾
divide	0.008805	暖簾
space	0.008805	暖簾
house	0.008805	暖簾
reputation	0.008805	暖簾
name	0.008805	暖簾
credit	0.008805	暖簾
goose	0.006603	鎌
neck	0.006603	鎌
tenon	0.006603	鎌
mortise	0.006603	鎌
joint	0.006603	鎌
noisiness	0.006603	鎌
part	0.006603	鎌
fish	0.006603	鎌
around	0.006603	鎌
gill	0.006603	鎌
chain	0.006603	鎌
spear	0.006603	鎌
curve	0.006603	鎌
cross	0.006603	鎌
blade	0.006603	鎌
lead	0.006603	鎌
trick	0.006603	鎌
hesitate	0.005080	兼ねる
think	0.005080	兼ねる
future	0.005080	兼ねる
unable	0.005080	兼ねる
find	0.005080	兼ねる
difficult	0.005080	兼ねる
serve	0.005080	兼ねる
function	0.005080	兼ねる
role	0.005080	兼ねる
contain	0.005080	兼ねる
feature	0.005080	兼ねる
work	0.005080	兼ねる
job	0.005080	兼ねる
along	0.005080	兼ねる
side	0.005080	兼ねる
