# word cloud top all for element 北
# token	weight	(optional sources)
take	0.038509	乘る,脊負う
prospect	0.038142	希望
expectation	0.038142	希望
hope	0.038142	希望
wish	0.038142	希望
aspiration	0.038142	希望
divergence	0.031785	乖離
alienation	0.031785	乖離
deviation	0.031785	乖離
estrangement	0.031785	乖離
sepa	0.031785	乖離
ration	0.031785	乖離
detachment	0.031785	乖離
back	0.029340	脊負う
one	0.029340	脊負う
get	0.023839	乘る
give	0.022436	負ける
carry	0.020630	乘る,脊負う
go	0.017879	乘る
burden	0.014670	脊負う
responsibility	0.014670	脊負う
conceit	0.014670	脊負う
think	0.014670	脊負う
highly	0.014670	脊負う
self	0.014670	脊負う
ground	0.014670	脊負う
front	0.014670	脊負う
inferior	0.011218	負ける
break	0.011218	負ける
out	0.011218	負ける
rash	0.011218	負ける
due	0.011218	負ける
lose	0.011218	負ける
defeat	0.011218	負ける
reduce	0.011218	負ける
price	0.011218	負ける
discount	0.011218	負ける
throw	0.011218	負ける
free	0.011218	負ける
succumb	0.011218	負ける
surrender	0.011218	負ける
yield	0.011218	負ける
swing	0.005960	乘る
deceive	0.005960	乘る
spread	0.005960	乘る
scatter	0.005960	乘る
follow	0.005960	乘る
stay	0.005960	乘る
reach	0.005960	乘る
over	0.005960	乘る
pas	0.005960	乘る
part	0.005960	乘る
participate	0.005960	乘る
join	0.005960	乘る
stick	0.005960	乘る
attach	0.005960	乘る
step	0.005960	乘る
jump	0.005960	乘る
sit	0.005960	乘る
mount	0.005960	乘る
board	0.005960	乘る
embark	0.005960	乘る
