# word cloud top all for element 半
# token	weight	(optional sources)
obesity	0.116786	肥胖
half	0.043233	半ば,袢纏
agitation	0.029197	攪拌
stir	0.029197	攪拌
whip	0.029197	攪拌
beat	0.029197	攪拌
between	0.023357	畦
accompany	0.023357	伴なう
hand	0.023357	伴なう
judgement	0.019464	審判
referee	0.019464	審判
umpire	0.019464	審判
judge	0.019464	審判
way	0.016769	半ば,畦
tether	0.016684	絆
fetter	0.016684	絆
bond	0.016684	絆
tie	0.016684	絆
relation	0.016684	絆
ship	0.016684	絆
connect	0.016684	絆
ion	0.016684	絆
link	0.016684	絆
middle	0.016283	半ば,袢纏
ridge	0.015572	畦
rice	0.015572	畦
field	0.015572	畦
sky	0.014598	袢纏
coat	0.014598	袢纏
go	0.011679	伴なう
consequent	0.011679	伴なう
upon	0.011679	伴なう
bring	0.011679	伴なう
take	0.011679	伴なう
involve	0.011679	伴なう
judgment	0.009732	審判
decision	0.009732	審判
verdict	0.009732	審判
sentence	0.009732	審判
one	0.008984	半ば
midway	0.008984	半ば
mostly	0.008984	半ば
almost	0.008984	半ば
nearly	0.008984	半ば
partly	0.008984	半ば
part	0.008984	半ば
partially	0.008984	半ば
groove	0.007786	畦
thresh	0.007786	畦
old	0.007786	畦
lintel	0.007786	畦
earth	0.007786	畦
foot	0.007786	畦
path	0.007786	畦
cause	0.007786	畦
livery	0.007299	袢纏
traditional	0.007299	袢纏
short	0.007299	袢纏
winter	0.007299	袢纏
resemble	0.007299	袢纏
haori	0.007299	袢纏
without	0.007299	袢纏
gusset	0.007299	袢纏
mid	0.007299	袢纏
air	0.007299	袢纏
