# word cloud top all for element 南
# token	weight	(optional sources)
camp	0.084021	樟
hor	0.084021	樟
babble	0.052513	喃語
whisper	0.052513	喃語
tree	0.042011	樟
camphor	0.042011	樟
wood	0.042011	樟
laurel	0.042011	樟
up	0.030008	献げる
hold	0.030008	献げる
lover	0.026257	喃語
sweet	0.026257	喃語
noth	0.026257	喃語
ing	0.026257	喃語
intimacy	0.026257	喃語
chili	0.015004	南蛮
pepper	0.015004	南蛮
right	0.015004	南蛮
devote	0.015004	献げる
sacrifice	0.015004	献げる
dedicate	0.015004	献げる
give	0.015004	献げる
offer	0.015004	献げる
consecrate	0.015004	献げる
lift	0.015004	献げる
above	0.015004	献げる
eye	0.015004	献げる
level	0.015004	献げる
south	0.007502	南蛮
east	0.007502	南蛮
asian	0.007502	南蛮
country	0.007502	南蛮
western	0.007502	南蛮
europe	0.007502	南蛮
southern	0.007502	南蛮
barbarian	0.007502	南蛮
thrust	0.007502	南蛮
foot	0.007502	南蛮
arm	0.007502	南蛮
forward	0.007502	南蛮
same	0.007502	南蛮
time	0.007502	南蛮
foreign	0.007502	南蛮
exotic	0.007502	南蛮
nanban	0.007502	南蛮
dish	0.007502	南蛮
pre	0.007502	南蛮
pare	0.007502	南蛮
use	0.007502	南蛮
welsh	0.007502	南蛮
onion	0.007502	南蛮
