# word cloud top all for element 友
# token	weight	(optional sources)
companion	0.122951	朋
out	0.073770	抜く
accompaniment	0.061475	朋
complement	0.061475	朋
accessory	0.061475	朋
friend	0.061475	朋
comrade	0.061475	朋
pal	0.061475	朋
take	0.032787	抜く
through	0.024590	抜く
go	0.016393	抜く
get	0.016393	抜く
extract	0.016393	抜く
scoop	0.008197	抜く
cut	0.008197	抜く
create	0.008197	抜く
die	0.008197	抜く
surround	0.008197	抜く
area	0.008197	抜く
do	0.008197	抜く
end	0.008197	抜く
carry	0.008197	抜く
masturbate	0.008197	抜く
ejaculate	0.008197	抜く
pilfer	0.008197	抜く
steal	0.008197	抜く
record	0.008197	抜く
let	0.008197	抜く
drain	0.008197	抜く
empty	0.008197	抜く
pierce	0.008197	抜く
break	0.008197	抜く
remove	0.008197	抜く
rid	0.008197	抜く
seize	0.008197	抜く
cap	0.008197	抜く
ture	0.008197	抜く
reduce	0.008197	抜く
omit	0.008197	抜く
leave	0.008197	抜く
without	0.008197	抜く
skip	0.008197	抜く
pas	0.008197	抜く
over	0.008197	抜く
strip	0.008197	抜く
ahead	0.008197	抜く
pick	0.008197	抜く
choose	0.008197	抜く
select	0.008197	抜く
pull	0.008197	抜く
draw	0.008197	抜く
unplug	0.008197	抜く
weed	0.008197	抜く
