# word cloud top all for element 右
# token	weight	(optional sources)
right	0.049660	右翼
norway	0.044931	諾
agreement	0.044931	諾
assent	0.044931	諾
wealth	0.033698	富裕
rich	0.033698	富裕
affluence	0.033698	富裕
opulence	0.033698	富裕
wing	0.028377	右翼
help	0.027218	惹き起す,輔ける
shelter	0.022465	囲まう
harbour	0.022465	囲まう
harbor	0.022465	囲まう
hide	0.022465	囲まう
give	0.022465	囲まう
refuge	0.022465	囲まう
con	0.020737	輔ける
tribute	0.020737	輔ける
pro	0.020737	輔ける
pull	0.016849	惹き起す
upright	0.016849	惹き起す
up	0.016849	惹き起す
cause	0.016849	惹き起す
induce	0.016849	惹き起す
bring	0.016849	惹き起す
provoke	0.016849	惹き起す
noh	0.014977	般若
mask	0.014977	般若
high	0.014189	右翼
assist	0.010369	輔ける
save	0.010369	輔ける
rescue	0.010369	輔ける
spare	0.010369	輔ける
support	0.010369	輔ける
vide	0.010369	輔ける
aid	0.010369	輔ける
facilitate	0.010369	輔ける
stimulate	0.010369	輔ける
mote	0.010369	輔ける
family	0.007488	般若
crest	0.007488	般若
design	0.007488	般若
after	0.007488	般若
hannya	0.007488	般若
grin	0.007488	般若
horn	0.007488	般若
demo	0.007488	般若
ness	0.007488	般若
prajna	0.007488	般若
dreadful	0.007488	般若
face	0.007488	般若
terrify	0.007488	般若
facial	0.007488	般若
express	0.007488	般若
ion	0.007488	般若
stand	0.007094	右翼
class	0.007094	右翼
rank	0.007094	右翼
field	0.007094	右翼
fielder	0.007094	右翼
flank	0.007094	右翼
