# word cloud top all for element 后
# token	weight	(optional sources)
after	0.085227	後
chance	0.074574	邂逅
coincidental	0.074574	邂逅
occasional	0.074574	邂逅
rare	0.074574	邂逅
one	0.042614	後
death	0.042614	後
descend	0.042614	後
ant	0.042614	後
future	0.042614	後
later	0.042614	後
ward	0.042614	後
pure	0.039773	無垢
long	0.019886	無垢
kimono	0.019886	無垢
make	0.019886	無垢
same	0.019886	無垢
plain	0.019886	無垢
colour	0.019886	無垢
cloth	0.019886	無垢
unmix	0.019886	無垢
unadulterat	0.019886	無垢
innocent	0.019886	無垢
spot	0.019886	無垢
less	0.019886	無垢
immaculate	0.019886	無垢
unspoil	0.019886	無垢
