# word cloud top all for element 呉
# token	weight	(optional sources)
do	0.059406	呉れる
one	0.049074	呉れる,誤魔化す
give	0.039604	呉れる
amusement	0.036304	娯楽
entertainment	0.036304	娯楽
recreation	0.036304	娯楽
plea	0.036304	娯楽
sure	0.036304	娯楽
pas	0.036304	娯楽
time	0.036304	娯楽
hobby	0.036304	娯楽
fear	0.036304	虞
horror	0.036304	虞
anxiety	0.036304	虞
con	0.036304	虞
cern	0.036304	虞
uneasiness	0.036304	虞
reverence	0.036304	虞
some	0.019802	呉れる
disadvantage	0.019802	呉れる
take	0.019802	呉れる
trouble	0.019802	呉れる
let	0.019802	呉れる
over	0.018941	誤魔化す
embezzle	0.009471	誤魔化す
pocket	0.009471	誤魔化す
deceive	0.009471	誤魔化す
cheat	0.009471	誤魔化す
swindle	0.009471	誤魔化す
evade	0.009471	誤魔化す
dodge	0.009471	誤魔化す
gloss	0.009471	誤魔化す
smooth	0.009471	誤魔化す
get	0.009471	誤魔化す
way	0.009471	誤魔化す
out	0.009471	誤魔化す
explain	0.009471	誤魔化す
away	0.009471	誤魔化す
falsify	0.009471	誤魔化す
misrepresent	0.009471	誤魔化す
lie	0.009471	誤魔化す
tamper	0.009471	誤魔化す
doctor	0.009471	誤魔化す
cook	0.009471	誤魔化す
