# word cloud top all for element 咼
# token	weight	(optional sources)
melt	0.049351	坩堝
pot	0.049351	坩堝
state	0.049351	坩堝
pas	0.038961	過ぎる
annoy	0.027417	禍禍しい
appear	0.027417	禍禍しい
true	0.027417	禍禍しい
plausible	0.027417	禍禍しい
ominous	0.027417	禍禍しい
sinister	0.027417	禍禍しい
unlucky	0.027417	禍禍しい
ill	0.027417	禍禍しい
omen	0.027417	禍禍しい
all	0.027417	渦巻く
jumble	0.027417	渦巻く
together	0.027417	渦巻く
surge	0.027417	渦巻く
sweep	0.027417	渦巻く
whirl	0.027417	渦巻く
eddy	0.027417	渦巻く
swirl	0.027417	渦巻く
curl	0.027417	渦巻く
too	0.025974	過ぎる
crucible	0.024675	坩堝
ecstasy	0.024675	坩堝
fever	0.024675	坩堝
excitement	0.024675	坩堝
no	0.012987	過ぎる
more	0.012987	過ぎる
elapse	0.012987	過ぎる
excess	0.012987	過ぎる
ive	0.012987	過ぎる
much	0.012987	過ぎる
exce	0.012987	過ぎる
surpass	0.012987	過ぎる
above	0.012987	過ぎる
expire	0.012987	過ぎる
end	0.012987	過ぎる
over	0.012987	過ぎる
through	0.012987	過ぎる
go	0.012987	過ぎる
beyond	0.012987	過ぎる
