# word cloud top all for element 善
# token	weight	(optional sources)
up	0.065192	繕う
counter	0.044237	膳
serve	0.044237	膳
able	0.032596	良い
fix	0.032596	繕う
fine	0.032596	良い
bowlful	0.022119	膳
rice	0.022119	膳
pair	0.022119	膳
chop	0.022119	膳
stick	0.022119	膳
small	0.022119	膳
din	0.022119	膳
table	0.022119	膳
tray	0.022119	膳
meal	0.022119	膳
food	0.022119	膳
easy	0.016298	良い
profit	0.016298	良い
beneficial	0.016298	良い
ok	0.016298	良い
all	0.016298	良い
right	0.016298	良い
no	0.016298	良い
problem	0.016298	良い
sufficient	0.016298	良い
enough	0.016298	良い
ready	0.016298	良い
pre	0.016298	良い
pare	0.016298	良い
good	0.016298	良い
excellent	0.016298	良い
nice	0.016298	良い
pleasant	0.016298	良い
agree	0.016298	良い
treat	0.016298	繕う
keep	0.016298	繕う
appearance	0.016298	繕う
cover	0.016298	繕う
gloss	0.016298	繕う
over	0.016298	繕う
adjust	0.016298	繕う
tidy	0.016298	繕う
groom	0.016298	繕う
mend	0.016298	繕う
patch	0.016298	繕う
repair	0.016298	繕う
darn	0.016298	繕う
