# word cloud top all for element 垂
# token	weight	(optional sources)
sattva	0.151515	薩埵
bodhi	0.075758	薩埵
sinker	0.075758	錘
weight	0.075758	錘
lie	0.047348	睡る
mail	0.041322	郵便
postal	0.041322	郵便
service	0.027548	郵便
sleep	0.018939	睡る
take	0.015152	眉唾
care	0.015152	眉唾
fool	0.015152	眉唾
dubious	0.015152	眉唾
tale	0.015152	眉唾
cock	0.015152	眉唾
bull	0.015152	眉唾
story	0.015152	眉唾
question	0.015152	眉唾
able	0.015152	眉唾
information	0.015152	眉唾
matter	0.013774	郵便
item	0.013774	郵便
post	0.013774	郵便
close	0.009470	睡る
one	0.009470	睡る
eye	0.009470	睡る
die	0.009470	睡る
rest	0.009470	睡る
idle	0.009470	睡る
unus	0.009470	睡る
untapp	0.009470	睡る
untouch	0.009470	睡る
leave	0.006887	垂れる
behind	0.006887	垂れる
excrete	0.006887	垂れる
let	0.006887	垂れる
out	0.006887	垂れる
say	0.006887	垂れる
utter	0.006887	垂れる
drip	0.006887	垂れる
ooze	0.006887	垂れる
trickle	0.006887	垂れる
drop	0.006887	垂れる
give	0.006887	垂れる
confer	0.006887	垂れる
grant	0.006887	垂れる
bestow	0.006887	垂れる
hang	0.006887	垂れる
droop	0.006887	垂れる
dangle	0.006887	垂れる
sag	0.006887	垂れる
lower	0.006887	垂れる
pull	0.006887	垂れる
down	0.006887	垂れる
