# word cloud top all for element 夜
# token	weight	(optional sources)
sauce	0.048780	汁
juice	0.048780	汁
sap	0.048780	汁
soup	0.048780	汁
broth	0.048780	汁
off	0.042418	腋
side	0.042418	腋
person	0.024390	鵼
second	0.021209	腋
verse	0.021209	腋
deuteragonist	0.021209	腋
support	0.021209	腋
role	0.021209	腋
track	0.021209	腋
topic	0.021209	腋
armpit	0.021209	腋
under	0.021209	腋
one	0.021209	腋
arm	0.021209	腋
flank	0.021209	腋
aside	0.021209	腋
away	0.021209	腋
out	0.021209	腋
way	0.021209	腋
beside	0.021209	腋
close	0.021209	腋
near	0.021209	腋
white	0.012195	鵼
thrush	0.012195	鵼
japan	0.012195	鵼
ese	0.012195	鵼
chimera	0.012195	鵼
myth	0.012195	鵼
ical	0.012195	鵼
creature	0.012195	鵼
monkey	0.012195	鵼
head	0.012195	鵼
tanuki	0.012195	鵼
body	0.012195	鵼
tiger	0.012195	鵼
limb	0.012195	鵼
snake	0.012195	鵼
tail	0.012195	鵼
mysterious	0.012195	鵼
unknown	0.012195	鵼
character	0.012195	鵼
enigma	0.012195	鵼
