# word cloud top all for element 央
# token	weight	(optional sources)
hero	0.044888	英雄
image	0.039900	映像
pic	0.039900	映像
ture	0.039900	映像
daikon	0.039900	霙
disaster	0.035910	禍
calamity	0.035910	禍
misfortune	0.035910	禍
trouble	0.035910	禍
woe	0.035910	禍
capital	0.025650	中央
seat	0.025650	中央
government	0.025650	中央
centre	0.025650	中央
center	0.025650	中央
middle	0.025650	中央
heart	0.025650	中央
eroica	0.022444	英雄
symphony	0.022444	英雄
heroic	0.022444	英雄
polonaise	0.022444	英雄
ine	0.022444	英雄
great	0.022444	英雄
person	0.022444	英雄
shave	0.019950	霙
ice	0.019950	霙
top	0.019950	霙
honey	0.019950	霙
sleet	0.019950	霙
shaving	0.019950	霙
grate	0.019950	霙
reflect	0.019950	映像
ion	0.019950	映像
mental	0.019950	映像
video	0.019950	映像
film	0.019950	映像
foot	0.019950	映像
age	0.019950	映像
