# word cloud top all for element 官
# token	weight	(optional sources)
hall	0.087379	会館
servant	0.058252	被管
arti	0.043689	綰物
cle	0.043689	綰物
pawn	0.043689	綰物
circu	0.043689	綰物
lar	0.043689	綰物
box	0.043689	綰物
meet	0.043689	会館
assembly	0.043689	会館
noble	0.038835	屋形
lower	0.029126	被管
government	0.029126	被管
office	0.029126	被管
serf	0.029126	被管
urban	0.029126	被管
family	0.029126	被管
higher	0.029126	被管
rank	0.029126	被管
person	0.029126	被管
retainer	0.029126	被管
cabin	0.019417	屋形
man	0.019417	屋形
woman	0.019417	屋形
dignitary	0.019417	屋形
mansion	0.019417	屋形
palace	0.019417	屋形
manor	0.019417	屋形
house	0.019417	屋形
castle	0.019417	屋形
