# word cloud top all for element 寅
# token	weight	(optional sources)
east	0.094891	寅
tiger	0.094891	寅
north	0.047445	寅
first	0.047445	寅
month	0.047445	寅
lunar	0.047445	寅
calendar	0.047445	寅
hour	0.047445	寅
pre	0.032847	演じる
tend	0.032847	演じる
act	0.032847	演じる
play	0.032847	演じる
per	0.032847	演じる
form	0.032847	演じる
put	0.032847	演じる
commit	0.032847	演じる
disgrace	0.032847	演じる
one	0.032847	演じる
self	0.032847	演じる
do	0.032847	演じる
someth	0.032847	演じる
conspicuously	0.032847	演じる
make	0.032847	演じる
scene	0.032847	演じる
