# word cloud top all for element 巛
# token	weight	(optional sources)
up	0.040969	掃討
priest	0.040969	緇衣
fire	0.036872	馘,馘る
mullet	0.036417	鰡
black	0.029588	緇衣,鰡
shin	0.027312	臑当て
head	0.025492	馘,鰡
behead	0.020484	馘る
decapitate	0.020484	馘る
dismiss	0.020484	馘る
spasmolysi	0.020484	鎮痙
spasmolytic	0.020484	鎮痙
anti	0.020484	鎮痙
spasmodic	0.020484	鎮痙
anticonvulsive	0.020484	鎮痙
script	0.020484	經文
ural	0.020484	經文
text	0.020484	經文
scrip	0.020484	經文
ture	0.020484	經文
sutra	0.020484	經文
robe	0.020484	緇衣
work	0.017558	労災
relate	0.017558	労災
around	0.017250	繞る
crisp	0.016387	簡勁
curt	0.016387	簡勁
laconic	0.016387	簡勁
terse	0.016387	簡勁
spare	0.016387	簡勁
neck	0.016387	馘
dismissal	0.016387	馘
sack	0.016387	馘
clean	0.013656	掃討
sweep	0.013656	掃討
mop	0.013656	掃討
greave	0.013656	臑当て
legg	0.013656	臑当て
ing	0.013656	臑当て
guard	0.013656	臑当て
pad	0.013656	臑当て
redlip	0.009104	鰡
strip	0.009104	鰡
flat	0.009104	鰡
grey	0.009104	鰡
surround	0.008625	繞る
make	0.008625	繞る
circle	0.008625	繞る
worker	0.005853	労災
compensation	0.005853	労災
insurance	0.005853	労災
injury	0.005853	労災
ill	0.005853	労災
ness	0.005853	労災
death	0.005853	労災
job	0.005853	労災
accident	0.005853	労災
con	0.004312	繞る
cern	0.004312	繞る
go	0.004312	繞る
travel	0.004312	繞る
tour	0.004312	繞る
enclose	0.004312	繞る
come	0.004312	繞る
return	0.004312	繞る
repeat	0.004312	繞る
circu	0.004312	繞る
late	0.004312	繞る
