# word cloud top all for element 左
# token	weight	(optional sources)
con	0.065287	輔ける,順う
follow	0.062102	順う
pro	0.044586	輔ける
tribute	0.044586	輔ける
go	0.041401	順う
various	0.030506	左右
thing	0.030506	左右
be	0.030506	左右
help	0.022293	輔ける
assist	0.022293	輔ける
save	0.022293	輔ける
rescue	0.022293	輔ける
spare	0.022293	輔ける
support	0.022293	輔ける
vide	0.022293	輔ける
aid	0.022293	輔ける
facilitate	0.022293	輔ける
stimulate	0.022293	輔ける
mote	0.022293	輔ける
along	0.020701	順う
side	0.020701	順う
serve	0.020701	順う
engage	0.020701	順う
accompany	0.020701	順う
obey	0.020701	順う
abide	0.020701	順う
observe	0.020701	順う
form	0.020701	順う
yield	0.020701	順う
all	0.015253	左右
sort	0.015253	左右
do	0.015253	左右
exist	0.015253	左右
rabbit	0.015253	左右
horn	0.015253	左右
any	0.015253	左右
rate	0.015253	左右
anyhow	0.015253	左右
anyway	0.015253	左右
apt	0.015253	左右
prone	0.015253	左右
tend	0.015253	左右
