# word cloud top all for element 帝
# token	weight	(optional sources)
essence	0.110256	真諦
ultimate	0.110256	真諦
truth	0.110256	真諦
make	0.073846	締め,鳴く
call	0.066154	鳴く
meld	0.033077	鳴く
sound	0.033077	鳴く
cry	0.033077	鳴く
whine	0.033077	鳴く
sing	0.033077	鳴く
chirp	0.033077	鳴く
counter	0.015385	締め
after	0.015385	締め
closure	0.007692	締め
mark	0.007692	締め
bundle	0.007692	締め
ream	0.007692	締め
sheet	0.007692	締め
japan	0.007692	締め
ese	0.007692	締め
write	0.007692	締め
paper	0.007692	締め
dish	0.007692	締め
eat	0.007692	締め
hot	0.007692	締め
pot	0.007692	締め
add	0.007692	締め
rice	0.007692	締め
noodle	0.007692	締め
left	0.007692	締め
over	0.007692	締め
broth	0.007692	締め
final	0.007692	締め
meal	0.007692	締め
drink	0.007692	締め
party	0.007692	締め
choke	0.007692	締め
technique	0.007692	締め
strangle	0.007692	締め
hold	0.007692	締め
total	0.007692	締め
sum	0.007692	締め
conclusion	0.007692	締め
end	0.007692	締め
finish	0.007692	締め
round	0.007692	締め
off	0.007692	締め
tie	0.007692	締め
up	0.007692	締め
bind	0.007692	締め
fasten	0.007692	締め
tighten	0.007692	締め
