# word cloud top all for element 并
# token	weight	(optional sources)
fence	0.113012	屏
wall	0.113012	屏
callu	0.056506	胼胝
corn	0.056506	胼胝
pat	0.045205	飛白
tern	0.045205	飛白
mochi	0.031864	力餅,尻餠
splash	0.022602	飛白
dye	0.022602	飛白
kasuri	0.022602	飛白
use	0.020181	宝瓶,尻餠
birth	0.019968	力餅,尻餠
vase	0.016145	宝瓶
vessel	0.016145	宝瓶
water	0.016145	宝瓶
esoteric	0.016145	宝瓶
buddhist	0.016145	宝瓶
baptism	0.016145	宝瓶
one	0.015932	力餅,尻餠
com	0.014741	合わせる
first	0.014020	力餅,尻餠
day	0.014020	力餅,尻餠
back	0.012108	尻餠
give	0.011896	力餅
bine	0.009827	合わせる
blade	0.009827	合わせる
together	0.009827	合わせる
cause	0.008950	合わせる,尻餠
fall	0.008072	尻餠
side	0.008072	尻餠
his	0.008072	尻餠
toddler	0.005948	力餅
receive	0.005948	力餅
parent	0.005948	力餅
after	0.005948	力餅
fortify	0.005948	力餅
imp	0.005948	力餅
rove	0.005948	力餅
strength	0.005948	力餅
meet	0.004914	合わせる
match	0.004914	合わせる
pare	0.004914	合わせる
check	0.004914	合わせる
face	0.004914	合わせる
opposite	0.004914	合わせる
mix	0.004914	合わせる
put	0.004914	合わせる
fight	0.004914	合わせる
place	0.004914	合わせる
conn	0.004914	合わせる
ect	0.004914	合わせる
over	0.004914	合わせる
lap	0.004914	合わせる
join	0.004914	合わせる
unite	0.004914	合わせる
add	0.004914	合わせる
up	0.004914	合わせる
pratfall	0.004036	尻餠
celeb	0.004036	尻餠
rate	0.004036	尻餠
child	0.004036	尻餠
tie	0.004036	尻餠
baby	0.004036	尻餠
if	0.004036	尻餠
he	0.004036	尻餠
start	0.004036	尻餠
walk	0.004036	尻餠
before	0.004036	尻餠
order	0.004036	尻餠
him	0.004036	尻餠
