# word cloud top all for element 後
# token	weight	(optional sources)
con	0.062500	前後
before	0.062500	前後
time	0.062500	前後
around	0.062500	前後
order	0.062500	前後
front	0.062500	前後
back	0.062500	前後
after	0.031250	前後
sequence	0.031250	前後
co	0.031250	前後
occur	0.031250	前後
happen	0.031250	前後
same	0.031250	前後
just	0.031250	前後
when	0.031250	前後
text	0.031250	前後
approximately	0.031250	前後
inversion	0.031250	前後
revers	0.031250	前後
ion	0.031250	前後
get	0.031250	前後
out	0.031250	前後
rear	0.031250	前後
behind	0.031250	前後
forth	0.031250	前後
