# word cloud top all for element 挙
# token	weight	(optional sources)
go	0.062500	揚がる
up	0.046875	揚がる
get	0.046875	揚がる
out	0.046875	揚がる
come	0.046875	揚がる
make	0.031250	揚がる
stop	0.031250	揚がる
finish	0.031250	揚がる
advance	0.031250	揚がる
enter	0.031250	揚がる
adequate	0.015625	揚がる
arrest	0.015625	揚がる
deep	0.015625	揚がる
fry	0.015625	揚がる
list	0.015625	揚がる
offer	0.015625	揚がる
speak	0.015625	揚がる
loudly	0.015625	揚がる
north	0.015625	揚がる
increase	0.015625	揚がる
occur	0.015625	揚がる
serve	0.015625	揚がる
turn	0.015625	揚がる
win	0.015625	揚がる
lift	0.015625	揚がる
complete	0.015625	揚がる
pro	0.015625	揚がる
mote	0.015625	揚がる
eat	0.015625	揚がる
drink	0.015625	揚がる
next	0.015625	揚がる
grade	0.015625	揚がる
nervous	0.015625	揚がる
stage	0.015625	揚がる
fright	0.015625	揚がる
ashore	0.015625	揚がる
visit	0.015625	揚がる
imp	0.015625	揚がる
rove	0.015625	揚がる
progress	0.015625	揚がる
do	0.015625	揚がる
over	0.015625	揚がる
cut	0.015625	揚がる
give	0.015625	揚がる
die	0.015625	揚がる
rise	0.015625	揚がる
ascend	0.015625	揚がる
raise	0.015625	揚がる
