# word cloud top all for element 敢
# token	weight	(optional sources)
olive	0.114286	橄欖
chin	0.057143	橄欖
ese	0.057143	橄欖
white	0.057143	橄欖
anchor	0.045714	磐
crag	0.045714	磐
cliff	0.045714	磐
rock	0.045714	磐
boulder	0.045714	磐
definitely	0.028571	敢て
necessarily	0.028571	敢て
particularly	0.028571	敢て
especially	0.028571	敢て
purposely	0.028571	敢て
daringly	0.028571	敢て
deliberately	0.028571	敢て
intention	0.028571	敢て
ally	0.028571	敢て
hard	0.020779	酷しい
difficult	0.020779	酷しい
tricky	0.020779	酷しい
intense	0.020779	酷しい
harsh	0.020779	酷しい
inclement	0.020779	酷しい
severe	0.020779	酷しい
strict	0.020779	酷しい
rigid	0.020779	酷しい
unspare	0.020779	酷しい
relentless	0.020779	酷しい
