# word cloud top all for element 斉
# token	weight	(optional sources)
order	0.085859	調う
well	0.057239	調う
complete	0.055556	濟む,調う
feel	0.053872	濟む
settle	0.028620	調う
adjust	0.028620	調う
regulate	0.028620	調う
refine	0.028620	調う
ready	0.028620	調う
pre	0.028620	調う
pare	0.028620	調う
arrange	0.028620	調う
put	0.028620	調う
pro	0.028620	調う
portion	0.028620	調う
harmonious	0.028620	調う
ease	0.026936	濟む
merely	0.026936	濟む
result	0.026936	濟む
someth	0.026936	濟む
less	0.026936	濟む
severe	0.026936	濟む
expect	0.026936	濟む
unease	0.026936	濟む
guilt	0.026936	濟む
trouble	0.026936	濟む
some	0.026936	濟む
one	0.026936	濟む
sorry	0.026936	濟む
finish	0.026936	濟む
end	0.026936	濟む
