# word cloud top all for element 斗
# token	weight	(optional sources)
ladle	0.049349	蝌蚪
mus	0.049349	蝌蚪
ical	0.049349	蝌蚪
note	0.049349	蝌蚪
tadpole	0.049349	蝌蚪
oak	0.039480	檞
japan	0.027965	檞,石
ese	0.027965	檞,石
mea	0.026170	桝,石
sure	0.026170	桝,石
phrase	0.022777	科白
take	0.020562	斟酌,魁
daimyo	0.019740	檞
emperor	0.019740	檞
material	0.019740	材料
square	0.017945	桝
grid	0.017945	桝
line	0.015184	科白
consideration	0.012337	斟酌
make	0.012337	斟酌
allowance	0.012337	斟酌
reserve	0.012337	斟酌
restraint	0.012337	斟酌
leniency	0.012337	斟酌
mercy	0.012337	斟酌
factor	0.009870	材料
subject	0.009870	材料
matter	0.009870	材料
ingredient	0.009870	材料
ground	0.009870	材料
basi	0.009870	材料
evidence	0.009870	材料
data	0.009870	材料
box	0.008973	桝
bear	0.008973	桝
block	0.008973	桝
container	0.008973	桝
cell	0.008973	桝
style	0.008225	石
boat	0.008225	石
load	0.008225	石
capacity	0.008225	石
koku	0.008225	石
traditional	0.008225	石
unit	0.008225	石
volume	0.008225	石
approx	0.008225	石
litre	0.008225	石
lead	0.008225	魁
attack	0.008225	魁
charge	0.008225	魁
ahead	0.008225	魁
other	0.008225	魁
pioneer	0.008225	魁
leader	0.008225	魁
initiative	0.008225	魁
fore	0.008225	魁
runner	0.008225	魁
harbinger	0.008225	魁
herald	0.008225	魁
one	0.007592	科白
comment	0.007592	科白
remark	0.007592	科白
word	0.007592	科白
stock	0.007592	科白
set	0.007592	科白
clich	0.007592	科白
platitude	0.007592	科白
