# word cloud top all for element 旡
# token	weight	(optional sources)
indignant	0.054152	慨然
sorrowful	0.054152	慨然
steadfast	0.054152	慨然
deter	0.054152	慨然
mine	0.054152	慨然
mad	0.043321	気違い
ness	0.043321	気違い
madman	0.043321	気違い
enthusiast	0.043321	気違い
freak	0.043321	気違い
junkie	0.043321	気違い
pour	0.036101	灌ぐ
all	0.018051	大概
most	0.012034	大概
ally	0.012034	大概
shed	0.012034	灌ぐ
fall	0.012034	灌ぐ
down	0.012034	灌ぐ
concentrate	0.012034	灌ぐ
one	0.012034	灌ぐ
energy	0.012034	灌ぐ
devote	0.012034	灌ぐ
fix	0.012034	灌ぐ
flow	0.012034	灌ぐ
run	0.012034	灌ぐ
drain	0.012034	灌ぐ
sprinkle	0.012034	灌ぐ
water	0.012034	灌ぐ
onto	0.012034	灌ぐ
spray	0.012034	灌ぐ
considerably	0.006017	大概
greatly	0.006017	大概
really	0.006017	大概
nearly	0.006017	大概
almost	0.006017	大概
probably	0.006017	大概
perhap	0.006017	大概
likelihood	0.006017	大概
gist	0.006017	大概
sum	0.006017	大概
mary	0.006017	大概
out	0.006017	大概
line	0.006017	大概
main	0.006017	大概
idea	0.006017	大概
stay	0.006017	大概
within	0.006017	大概
bound	0.006017	大概
overdo	0.006017	大概
get	0.006017	大概
carry	0.006017	大概
away	0.006017	大概
go	0.006017	大概
too	0.006017	大概
far	0.006017	大概
be	0.006017	大概
mode	0.006017	大概
rate	0.006017	大概
gene	0.006017	大概
rally	0.006017	大概
mainly	0.006017	大概
usu	0.006017	大概
norm	0.006017	大概
mostly	0.006017	大概
part	0.006017	大概
