# word cloud top all for element 日
# token	weight	(optional sources)
ion	0.007990	問題,四隅,場,届く,意趣,指し,提出,援護,故障,映像,景,欄,爆発,硬塞,禁遏,線,腹,膿み,蔓,課題,...
one	0.007944	一層,三昧,内緒,単,嗜み,寝ぐら,担ぐ,星,曝す,最後,母衣,温める,漏らす,甦生,白,皆んな,瞳,維,線,縁,...
up	0.006000	埋める,干す,担ぐ,掃討,掲げる,揚がる,曇る,煩さい,燗,爆発,牽く,登る,衝く,警鐘,辟易,醒ます,開ける,隈取る,霽れる,高ぶる
ship	0.004875	安堵,左袒,船,船舶,艨艟,間
ese	0.004614	姫椿,字源,幡幢,昴,東,楮紙,楷,竿,蓍,鉾,鞨鼓,音,鯣,鰰
over	0.004492	唸る,埋める,復,捺す,掲げる,揚がる,曇る,泊り,渡る,温める,眩れる,糟,蔓,覆す,識る,豊か,込める,鈍い,馴れ馴れしい,鯣
time	0.004143	復,捺す,日,旧い,春,晝,秋,鈍い,開ける,閑,間,零落れる,須臾,鯣
dark	0.003948	濃い,眩む,眩れる,褐,闇い,靉靆,黒い,黯然
go	0.003838	揚がる,斡旋,暢気,桂庵,棹差す,渡る,潜る,牽く,登る,繧繝,蔓,詣る,識る,譜,踏む,鰻登り,鼬ごっこ
make	0.003471	味噌,唸る,嘲る,埋める,届く,延びる,捺す,揚がる,曝す,楮紙,縮める,舐める,醴,開ける,隈取る,響く,顕す
fish	0.003245	探す,汐,腥い,鰒,鰰
day	0.003226	日,晝,曉,曙光,秋,鈍い,閑
down	0.003162	呷る,喝破,捺す,提げ,故障,曇る,煮詰る,牽く,舐める,闇い,零落れる
bright	0.003158	煌煌,皓皓
water	0.003094	埋める,氷瀑,汐,渚,潭,船
chin	0.003038	姫椿,字源,幡幢,昴,楷,蓍,西晋,鉾,音
ness	0.002948	亂暴,余韻,旨味,昵懇,松柏,疵,艶,裸
long	0.002913	幡幢,延びる,引摺る,憬れ,旧い,竿,諸子,鉾,須臾
con	0.002798	三昧,慌てる,的,線,縮める,舐める,蔓,藹藹,謁える,識る,闘い,阿闍梨
war	0.002764	艨艟,闘い
less	0.002737	亂暴,増し,暢気,精悍,糟,藷,闇い,鼬ごっこ
out	0.002733	埋める,場,延びる,引摺る,御目見得,抉る,掲げる,揚がる,故障,旧い,漏らす,爆発,線,識る,錬る,開ける
obstinacy	0.002665	剛愎,意趣
become	0.002640	延びる,慌てる,曇る,溷濁,眩む,高ぶる
ary	0.002594	界,野人,韃靼
come	0.002527	出遭う,御目見得,揚がる,煮詰る,甦生,由る,登る,眩れる,詣る,零落れる,響く
empty	0.002453	皓皓,開ける
pro	0.002416	喝破,延びる,引摺る,揚がる,故障,替わり,登る,糟,糧,諫め,錬る
tooth	0.002391	楊枝,諸子,鱧
bottle	0.002369	瓶詰め
broad	0.002369	皓皓
wuhuan	0.002369	烏桓
sole	0.002369	靴底
festival	0.002369	祭禮
centimeter	0.002369	糎
tart	0.002369	韃靼
freeze	0.002369	凍り付く,氷瀑
age	0.002367	廬,旧い,映像,朝,泊り,秋,箱
top	0.002303	丁髷,冕冠,卓,母衣,焜炉,禅定,複,鼬ごっこ
eye	0.002256	瞳,膠,靉靆,黛
fall	0.002166	提げ,氷瀑,腥い,零落れる
japan	0.002128	姫椿,東,楮紙,竿,鞨鼓,鯣,鰰
point	0.002096	味噌,星,界,疵,的,糟,維,肝,軸,間,鼬ごっこ
hair	0.002073	天神,花簪,赭熊,鬘
turtle	0.002073	亀,瑇瑁
face	0.002020	冒す,指し,謁える,面晤
sweet	0.001934	竿,菖蒲,醴,馥郁
be	0.001916	三昧,故障,晨朝,縲絏,裸,須臾
sea	0.001902	汐,綿津見,船,船舶
take	0.001888	冒す,嗜み,宿る,担ぐ,浪漫,温める,脱帽
back	0.001883	援護,景,母衣,牽く,甦生,甲,辟易,鼬ごっこ
all	0.001876	一層,皆んな,究竟,萬,都合
dynasty	0.001875	朝,西晋,陳
through	0.001863	届く,探す,漕ぐ,潜る,裂帛,識る,踏む,鰻登り
side	0.001862	撮み,景,渚,牽く,範,蔓,里,鞨鼓
page	0.001824	欄,硬塞,童僕,童部,鏡
com	0.001816	字源,愚図愚図,照らす,複,誹諧,闘い
tree	0.001777	姫椿,松柏,楮紙,樟,譜
retreat	0.001777	別墅,廬
stone	0.001777	石碣
ever	0.001761	一層,徒,松柏,賢木
handle	0.001753	幡幢,抽斗,撮み,柄,鉾
stop	0.001684	埋める,宿る,揚がる,擱く,泊り,硬塞,霽れる
dawn	0.001642	晨朝,曉,曙光,開ける
land	0.001633	安堵,畠,荒れ野,陸閘
layer	0.001621	一層,単,袙
work	0.001620	待遇,無理,草紙,課題,邁進,錬る,高ぶる
put	0.001594	埋める,延びる,掲げる,擱く,舐める,著する,込める,隈取る
home	0.001579	別墅,寝ぐら,裡,課題,里
