# word cloud top all for element 月
# token	weight	(optional sources)
one	0.009564	勝手,地膚,崩す,心髄,狙う,罷り出る,脊負う,腋,腹,膂力,膝許,落とす,蚕棚,誤魔化す,重ね,阻む,鮪
ion	0.006690	咀嚼,変態,情,期,筋,腑分け,腹,膝許,膿み,落とす,誼み
go	0.006287	服する,消える,繧繝,脱ける,請ける,謂う,辷る,遡る,順う
octopu	0.005872	タコ壺,鮹
up	0.005741	宵っ張り,沸騰,燗,狙う,組む,縢る,育てる,遡る,重ね,開ける,霽れる
frame	0.005219	ろっ骨,形骸,胴,骨,骨骼
sigh	0.005033	喟然
band	0.005033	繃帯,聟
we	0.005033	朕
quiver	0.005033	箙
obesity	0.005033	肥胖
callu	0.005033	胼胝
corn	0.005033	胼胝
lip	0.005033	脣
lianpu	0.005033	臉譜
butter	0.005033	蝴蝶
fly	0.005033	蝴蝶
steep	0.004866	峻峭,険阻
back	0.004816	脊負う,遡る,骨
heart	0.004590	心肺,心臓,心髄,胸,脆い
arm	0.004417	上膊,肩透かし,腋,腕貫,足
place	0.004400	安土,江湖,膝許,臀,落とす,険阻
age	0.004372	屑,朝,期,筋,繃帯
meat	0.004251	朧ろ,脯,髀肉
fur	0.004027	膃肭臍
seal	0.004027	膃肭臍
make	0.003813	嘲る,崩す,澄ます,狙う,落とす,謂う,開ける,静める
become	0.003624	沸騰,消える,瘦せる,肥える,請ける,錆付く
ing	0.003617	勝手,告訴,情,胸,腹,臑当て
fish	0.003609	朧ろ,汐,筋,腥い,鮪,鶚
shin	0.003356	臑当て
diaphragm	0.003356	膈
head	0.003236	狷介,髑髏
self	0.003228	崩す,狷介,罷り出る,脊負う
out	0.003216	削る,消える,肩透かし,脱ける,腋,落とす,誤魔化す,開ける,骨
person	0.003108	低脳,熊羆,筋,膝許,鮪
board	0.003076	真魚板,賄う
clear	0.003016	朗らか,澄ます,脱ける,開ける,霽れる
bare	0.002936	地膚,餬口
put	0.002919	崩す,澄ます,組む,肥える,腑分け,詛う,静める
tile	0.002876	瘦せる,肥える,膏腴
thigh	0.002852	太腿,胯,髀肉
die	0.002852	消える,骰子
worm	0.002685	ウジ虫,蚕棚
fat	0.002625	肥える,脂肪,膩
strength	0.002573	精,膂力
down	0.002567	削る,崩す,肩透かし,落とす,請ける,辷る,静める
bird	0.002555	宵っ張り,鵬,鶺鴒
son	0.002517	聟
law	0.002517	聟
hus	0.002517	聟
groom	0.002517	聟
dress	0.002517	繃帯
rib	0.002517	ろっ骨
affirmation	0.002517	肯定
affirmative	0.002517	肯定
upper	0.002517	上膊
punishment	0.002517	膺懲
chastisement	0.002517	膺懲
seclusion	0.002517	遯世
dice	0.002517	骰子
skull	0.002517	髑髏
death	0.002517	髑髏
cranium	0.002517	髑髏
stomach	0.002408	胃袋,胸,腹
gut	0.002405	心臓,盲腸,肝
fer	0.002373	肥える,膏腴
scum	0.002307	ウジ虫,屑
together	0.002295	糊代,組む,蝟集,錆付く
grease	0.002265	脂肪,膩
lard	0.002265	脂肪,膩
pig	0.002265	豚,髀肉
chest	0.002219	月の輪,真魚板,胸
slim	0.002181	嬋娟,瘦せる
breast	0.002174	真魚板,胸
bottom	0.002146	心髄,臀,足
way	0.002143	二股,勝手,情,脱ける,腋,誤魔化す
hawk	0.002135	宵っ張り,鶚
eye	0.002135	狙う,膠
rice	0.002119	租,膳,荒
soothe	0.002116	宥める,静める
pacify	0.002116	宥める,静める
part	0.002042	二股,心臓,腹,荒
spirit	0.002024	精,肝,骨
precipice	0.002013	険阻
precipitous	0.002013	険阻
warm	0.002013	燗
sake	0.002013	燗
essential	0.002013	肝,肝腎
peace	0.002013	静寧
mound	0.002013	安土
alaskan	0.002013	膃肭臍
curse	0.002013	詛う
guard	0.001992	腕貫,臑当て
strong	0.001977	狷介,蒜
ish	0.001971	不肖,稍,郁郁
away	0.001965	消える,腋,誤魔化す,開ける,霽れる
side	0.001957	稍,腋,膝許,順う
bear	0.001930	月の輪,熊羆
calm	0.001897	宥める,静める
lung	0.001896	心肺,胸
skin	0.001888	地膚
world	0.001888	江湖,遯世
livelihood	0.001871	勝手,餬口
boil	0.001870	汐,沸騰,腫物
com	0.001864	咀嚼,情,静める,鞘
serve	0.001862	中﨟,服する,膳,順う
land	0.001846	膏腴,華胥
family	0.001838	中﨟,謄本,鶺鴒
some	0.001818	稍,落とす,阻む,骨,鮪
smell	0.001818	腥い,蒜
vague	0.001818	朧ろ,濛濛
dim	0.001818	朧ろ,濛濛
fine	0.001808	朗らか,精,良い
counter	0.001783	筋,腹,膳,重ね
after	0.001767	月の輪,狙う,膝許,華胥
come	0.001764	有る,肩透かし,脱ける,辷る
dense	0.001762	濛濛,繧繝
pro	0.001753	育てる,賄う,輔ける
time	0.001746	二股,期,稍,開ける
under	0.001735	肩透かし,腋,膝許,臀,重ね,静める
weight	0.001726	瘦せる,肥える
sediment	0.001678	沈渣
hypostati	0.001678	沈渣
sludge	0.001678	沈渣
valiant	0.001678	熊羆
diet	0.001678	胃袋
ary	0.001678	胃袋
need	0.001678	胃袋
dry	0.001678	脯
jerky	0.001678	脯
maggot	0.001678	ウジ虫
aroma	0.001678	郁郁
spade	0.001678	鋤
plough	0.001678	鋤
plow	0.001678	鋤
osprey	0.001678	鶚
graceful	0.001678	嬋娟
beautiful	0.001678	嬋娟
severe	0.001678	峻峭
alm	0.001678	義援
donation	0.001678	義援
contribution	0.001678	義援
resin	0.001678	膠
tar	0.001678	膠
nicotine	0.001678	膠
sleep	0.001678	膠
discharge	0.001678	膠
splenomegaly	0.001678	脾腫
enlarge	0.001678	脾腫
spleen	0.001678	脾腫
fibula	0.001678	腓骨
fibular	0.001678	腓骨
peroneal	0.001678	腓骨
vicinity	0.001678	膈
cham	0.001678	タコ壺,覇者
relation	0.001678	誼み
subsistence	0.001678	餬口
greave	0.001678	臑当て
legg	0.001678	臑当て
pad	0.001678	臑当て
red	0.001678	臙脂
off	0.001670	削る,崩す,消える,腋,落とす
earth	0.001636	地膚,静寧
chop	0.001618	真魚板,膳
con	0.001592	臀,輔ける,順う
give	0.001592	筋,脱ける,萌す,請ける,賄う
point	0.001579	肝,脱ける,青
chin	0.001573	腕貫,鰓
ity	0.001566	変態,静寧
take	0.001541	服する,脊負う,落とす,請ける
corrupt	0.001538	腥い,膿み
cut	0.001523	削る,真魚板
parent	0.001516	膝許,親
copy	0.001512	落とす,謄本
end	0.001511	末梢,腕貫,臀,開ける
patch	0.001510	月の輪,膏薬
leave	0.001499	罷り出る,脱ける,落とす,開ける
friend	0.001468	朋,誼み
buttock	0.001464	太腿,臀
quiet	0.001444	静める,静寧
popliteal	0.001438	膕
room	0.001431	糊代,蚕棚,開ける
work	0.001418	中﨟,形骸,骨骼
period	0.001384	朝,期,繧繝
late	0.001373	宵っ張り
tax	0.001373	租
main	0.001366	肝腎,親
key	0.001366	肝,親
lunar	0.001342	朔,皐月
month	0.001342	朔,皐月
calendar	0.001342	朔,皐月
present	0.001342	罷り出る,苞苴
margin	0.001335	糊代,鞘
butt	0.001321	太腿,腕貫
hole	0.001306	タコ壺,脱ける,腕貫
fade	0.001285	消える,脱ける,萎れる
courage	0.001279	肝,腹
centre	0.001278	心髄,狷介
center	0.001278	心髄,狷介
feel	0.001274	情,胸,腹,請ける
name	0.001267	形骸,膝許,謂う
surf	0.001258	地膚
ace	0.001258	地膚
flat	0.001258	真魚板
tiny	0.001258	真魚板
statute	0.001258	徭役
labor	0.001258	徭役
service	0.001258	徭役
socage	0.001258	徭役
legal	0.001258	告訴
thick	0.001258	濛濛
dissect	0.001258	腑分け
jaw	0.001258	鰓
gill	0.001258	鰓
branchia	0.001258	鰓
ointment	0.001258	膏薬
liniment	0.001258	膏薬
plaster	0.001258	膏薬
tallow	0.001258	膩
pu	0.001258	膿み
rot	0.001258	膿み
evil	0.001258	膿み
edible	0.001258	蒜
plant	0.001258	蒜
swarm	0.001258	蝟集
throng	0.001258	蝟集
flock	0.001258	蝟集
pork	0.001258	豚
fatso	0.001258	豚
fatty	0.001258	豚
monastic	0.001258	遯世
feng	0.001258	鵬
huang	0.001258	鵬
large	0.001258	鵬
peng	0.001258	鵬
straw	0.001258	月の輪,苞苴
companion	0.001258	朋
rust	0.001258	錆付く
low	0.001258	低脳
behind	0.001251	膕,臀,落とす
coat	0.001246	被膜,重ね
follow	0.001236	請ける,順う
grow	0.001234	肥える,蚕棚,開ける
tribute	0.001232	租,輔ける
over	0.001209	糊代,落とす,誤魔化す,重ね
sunny	0.001177	朗らか,霽れる
use	0.001167	勝手,繧繝,膝許
round	0.001159	脱ける,髀肉
skeleton	0.001139	形骸,骨骼
tip	0.001119	末梢
detail	0.001119	末梢,精
dark	0.001119	臙脂
fork	0.001119	二股,胯
blue	0.001119	青,鮪
transformation	0.001119	変態
fall	0.001112	脱ける,腥い,落とす,辷る
nerve	0.001111	心臓,腹,良く
tail	0.001104	削る,鶺鴒
muscle	0.001100	筋,膂力
tic	0.001091	月の輪,郁郁
ture	0.001091	繧繝,郁郁
let	0.001083	崩す,肩透かし,腕貫,落とす
season	0.001063	期,朧ろ
lose	0.001061	消える,瘦せる,落とす
live	0.001033	勝手,有る
nat	0.001016	地膚,荒
ural	0.001016	地膚,荒
moon	0.001007	月の輪,朔
liver	0.001007	肝
innard	0.001007	肝
crux	0.001007	肝
pluck	0.001007	肝
germination	0.001007	胚胎
pregnancy	0.001007	胚胎
arise	0.001007	胚胎
result	0.001007	胚胎
originate	0.001007	胚胎
import	0.001007	肝腎
ant	0.001007	肝腎
crucial	0.001007	肝腎
vital	0.001007	肝腎
soil	0.001007	膏腴
fertility	0.001007	膏腴
physical	0.001007	膂力
tunic	0.001007	被膜
capsule	0.001007	被膜
film	0.001007	被膜
membrane	0.001007	被膜
