# word cloud top all for element 有
# token	weight	(optional sources)
aroma	0.048261	郁郁
soothe	0.048261	宥める
calm	0.048261	宥める
pacify	0.048261	宥める
flour	0.024131	郁郁
ish	0.024131	郁郁
teem	0.024131	郁郁
cul	0.024131	郁郁
ture	0.024131	郁郁
tic	0.024131	郁郁
emit	0.024131	郁郁
equip	0.024131	有る
locate	0.024131	有る
happen	0.024131	有る
come	0.024131	有る
exist	0.024131	有る
live	0.024131	有る
give	0.016087	賄う
board	0.016087	賄う
pro	0.016087	賄う
vide	0.016087	賄う
meal	0.016087	賄う
supply	0.016087	賄う
cover	0.016087	賄う
pay	0.016087	賄う
finance	0.016087	賄う
maintain	0.016087	賄う
tuna	0.016087	鮪
one	0.014431	落とす,鮪
some	0.010173	落とす,鮪
pacific	0.008044	鮪
blue	0.008044	鮪
fin	0.008044	鮪
unconscious	0.008044	鮪
due	0.008044	鮪
alcohol	0.008044	鮪
tunny	0.008044	鮪
dead	0.008044	鮪
lay	0.008044	鮪
star	0.008044	鮪
fish	0.008044	鮪
person	0.008044	鮪
who	0.008044	鮪
inactive	0.008044	鮪
dure	0.008044	鮪
sexual	0.008044	鮪
inter	0.008044	鮪
course	0.008044	鮪
make	0.006388	落とす
lose	0.006388	落とす
fall	0.006388	落とす
force	0.004258	落とす
finish	0.004258	落とす
leave	0.004258	落とす
let	0.004258	落とす
story	0.002129	落とす
swoon	0.002129	落とす
down	0.002129	落とす
load	0.002129	落とす
copy	0.002129	落とす
computer	0.002129	落とす
another	0.002129	落とす
medium	0.002129	落とす
win	0.002129	落とす
over	0.002129	落とす
seduce	0.002129	落とす
conquer	0.002129	落とす
reject	0.002129	落とす
fail	0.002129	落とす
defeat	0.002129	落とす
clean	0.002129	落とす
off	0.002129	落とす
remove	0.002129	落とす
spend	0.002129	落とす
money	0.002129	落とす
certain	0.002129	落とす
place	0.002129	落とす
omit	0.002129	落とす
out	0.002129	落とす
secretly	0.002129	落とす
escape	0.002129	落とす
drop	0.002129	落とす
shed	0.002129	落とす
cast	0.002129	落とす
pour	0.002129	落とす
behind	0.002129	落とす
lower	0.002129	落とす
lessen	0.002129	落とす
worsen	0.002129	落とす
reduce	0.002129	落とす
speak	0.002129	落とす
badly	0.002129	落とす
light	0.002129	落とす
straiten	0.002129	落とす
circum	0.002129	落とす
stance	0.002129	落とす
own	0.002129	落とす
bid	0.002129	落とす
accept	0.002129	落とす
surrender	0.002129	落とす
take	0.002129	落とす
fully	0.002129	落とす
convince	0.002129	落とす
press	0.002129	落とす
confess	0.002129	落とす
ion	0.002129	落とす
deal	0.002129	落とす
