# word cloud top all for element 朱
# token	weight	(optional sources)
dwarf	0.158921	朱儒
punishment	0.070632	天誅
red	0.055622	赤
shu	0.031784	銖
unit	0.031784	銖
ry	0.031784	銖
heaven	0.017658	天誅
divine	0.017658	天誅
well	0.017658	天誅
deserve	0.017658	天誅
just	0.017658	天誅
edo	0.015892	銖
period	0.015892	銖
currency	0.015892	銖
weight	0.015892	銖
ball	0.014447	球
root	0.014447	株
stock	0.014447	株
let	0.012762	球,赤
bead	0.009632	球
person	0.009632	球
drop	0.009632	球
copper	0.007946	赤
point	0.007946	赤
card	0.007946	赤
light	0.007946	赤
contain	0.007946	赤
colour	0.007946	赤
ink	0.007946	赤
crimson	0.007946	赤
scar	0.007946	赤
complete	0.007946	赤
total	0.007946	赤
perfect	0.007946	赤
obvious	0.007946	赤
one	0.007224	株
forte	0.007224	株
strain	0.007224	株
stump	0.007224	株
plant	0.007224	株
attach	0.007224	株
stem	0.007224	株
good	0.007224	株
will	0.007224	株
privilege	0.007224	株
share	0.007224	株
reputation	0.007224	株
stand	0.007224	株
popular	0.007224	株
ity	0.007224	株
company	0.007224	株
corp	0.007224	株
oration	0.007224	株
kabu	0.007224	株
shiki	0.007224	株
kaisha	0.007224	株
kk	0.007224	株
bulb	0.004816	球
bullet	0.004816	球
coin	0.004816	球
egg	0.004816	球
female	0.004816	球
entertainer	0.004816	球
item	0.004816	球
fund	0.004816	球
use	0.004816	球
part	0.004816	球
plot	0.004816	球
len	0.004816	球
okonomiyaki	0.004816	球
pile	0.004816	球
character	0.004816	球
gem	0.004816	球
jewel	0.004816	球
pearl	0.004816	球
preci	0.004816	球
ous	0.004816	球
beautiful	0.004816	球
excellent	0.004816	球
sphere	0.004816	球
globe	0.004816	球
orb	0.004816	球
