# word cloud top all for element 来
# token	weight	(optional sources)
become	0.048780	出来る
up	0.048780	出来る
peng	0.048780	蓬莱
lai	0.048780	蓬莱
kansai	0.024390	蓬莱
new	0.024390	蓬莱
year	0.024390	蓬莱
decoration	0.024390	蓬莱
sacr	0.024390	蓬莱
mountain	0.024390	蓬莱
formosa	0.024390	蓬莱
taiwan	0.024390	蓬莱
mount	0.024390	蓬莱
island	0.024390	蓬莱
ench	0.024390	蓬莱
ant	0.024390	蓬莱
land	0.024390	蓬莱
perpetual	0.024390	蓬莱
youth	0.024390	蓬莱
chin	0.024390	蓬莱
ese	0.024390	蓬莱
myth	0.024390	蓬莱
ology	0.024390	蓬莱
pregnant	0.024390	出来る
able	0.024390	出来る
do	0.024390	出来る
task	0.024390	出来る
good	0.024390	出来る
permit	0.024390	出来る
make	0.024390	出来る
build	0.024390	出来る
ready	0.024390	出来る
complete	0.024390	出来る
intimate	0.024390	出来る
take	0.024390	出来る
grow	0.024390	出来る
raise	0.024390	出来る
