# word cloud top all for element 欠
# token	weight	(optional sources)
ion	0.020427	愛欲,諮詢
virtue	0.018024	懿徳
intermittence	0.018024	間歇
intermittent	0.018024	間歇
white	0.018024	白磁
porcelain	0.018024	白磁
accept	0.017165	歓ぶ,飲む
attachment	0.014419	愛欲
pass	0.014419	愛欲
sexual	0.014419	愛欲
desire	0.014419	愛欲
lust	0.014419	愛欲
europe	0.014419	西欧
up	0.013654	欹てる,軟派
out	0.012617	吹く,懿徳
congratulate	0.012016	歓ぶ
grate	0.012016	歓ぶ
fully	0.012016	歓ぶ
delight	0.012016	歓ぶ
glad	0.012016	歓ぶ
please	0.012016	歓ぶ
poor	0.012016	凶歉
crop	0.012016	凶歉
famine	0.012016	凶歉
kan	0.012016	坎
pit	0.012016	坎
hole	0.012016	坎
strain	0.012016	欹てる
prick	0.012016	欹てる
detestation	0.012016	蛇蠍
serpent	0.012016	蛇蠍
scorpion	0.012016	蛇蠍
great	0.009012	懿徳
stand	0.009012	懿徳
steal	0.008319	盗む
western	0.007209	西欧
west	0.007209	西欧
occident	0.007209	西欧
authorize	0.007209	欽定
author	0.007209	欽定
ise	0.007209	欽定
appoint	0.007209	欽定
enact	0.007209	欽定
establish	0.007209	欽定
form	0.006747	吹く,姿
take	0.006652	中継ぎ,飲む
quest	0.006008	諮詢
enquiry	0.006008	諮詢
inquiry	0.006008	諮詢
consultation	0.006008	諮詢
advice	0.006008	諮詢
seek	0.006008	諮詢
dress	0.005546	姿
do	0.005546	盗む
coax	0.005150	騙す
wheedle	0.005150	騙す
soothe	0.005150	騙す
humor	0.005150	騙す
trick	0.005150	騙す
cheat	0.005150	騙す
deceive	0.005150	騙す
cusp	0.005150	荊
thorn	0.005150	荊
thorny	0.005150	荊
shrub	0.005150	荊
wild	0.005150	荊
rise	0.005150	荊
briar	0.005150	荊
fund	0.005150	資
capital	0.005150	資
material	0.005150	資
basi	0.005150	資
character	0.005150	資
quality	0.005150	資
disposition	0.005150	資
smoke	0.005150	飲む
engulf	0.005150	飲む
overwhelm	0.005150	飲む
keep	0.005150	飲む
down	0.005150	飲む
suppress	0.005150	飲む
make	0.005150	飲む
light	0.005150	飲む
conceal	0.005150	飲む
drink	0.005150	飲む
gulp	0.005150	飲む
swallow	0.005150	飲む
blow	0.004806	吹く
base	0.004775	小歌,盗む
cook	0.004506	炊く
get	0.004506	炊く
angry	0.004506	炊く
snap	0.004506	炊く
boil	0.004506	炊く
simmer	0.004506	炊く
stew	0.004506	炊く
seethe	0.004506	炊く
middle	0.004506	中継ぎ
play	0.004479	吹く,軟派
shape	0.004275	中継ぎ,姿
kouta	0.004005	小歌
song	0.004005	小歌
mode	0.003277	軟派
rate	0.003277	軟派
woman	0.003277	軟派
bear	0.003277	軟派
join	0.003004	中継ぎ
muromachi	0.003004	小歌
dure	0.002773	盗む
scant	0.002773	盗む
time	0.002773	盗む
stealthily	0.002773	盗む
plagiarize	0.002773	盗む
watch	0.002773	盗む
learn	0.002773	盗む
wear	0.002773	姿
appearance	0.002773	姿
guise	0.002773	姿
figure	0.002773	姿
state	0.002773	姿
condition	0.002773	姿
pic	0.002773	姿
ture	0.002773	姿
image	0.002773	姿
lady	0.002640	小歌,軟派
burst	0.002403	吹く
puff	0.002403	吹く
kyogen	0.002003	小歌
style	0.002003	小歌
ballad	0.002003	小歌
noh	0.002003	小歌
period	0.002003	小歌
ish	0.001639	軟派
trader	0.001639	軟派
party	0.001639	軟派
pick	0.001639	軟派
hit	0.001639	軟派
social	0.001639	軟派
story	0.001639	軟派
society	0.001639	軟派
column	0.001639	軟派
ist	0.001639	軟派
seducer	0.001639	軟派
smooth	0.001639	軟派
talker	0.001639	軟派
man	0.001639	軟派
boy	0.001639	軟派
girl	0.001639	軟派
pole	0.001502	中継ぎ
item	0.001502	中継ぎ
tea	0.001502	中継ぎ
container	0.001502	中継ぎ
lid	0.001502	中継ぎ
same	0.001502	中継ぎ
size	0.001502	中継ぎ
body	0.001502	中継ぎ
inter	0.001502	中継ぎ
mediation	0.001502	中継ぎ
act	0.001502	中継ぎ
intermediary	0.001502	中継ぎ
joint	0.001502	中継ぎ
relief	0.001502	中継ぎ
pitcher	0.001502	中継ぎ
reliever	0.001502	中継ぎ
relay	0.001502	中継ぎ
over	0.001502	中継ぎ
brag	0.001202	吹く
talk	0.001202	吹く
big	0.001202	吹く
laugh	0.001202	吹く
laughter	0.001202	吹く
smelt	0.001202	吹く
mint	0.001202	吹く
sprout	0.001202	吹く
put	0.001202	吹く
forth	0.001202	吹く
appear	0.001202	吹く
coat	0.001202	吹く
whistle	0.001202	吹く
breathe	0.001202	吹く
emit	0.001202	吹く
spout	0.001202	吹く
spew	0.001202	吹く
court	0.001001	小歌
sing	0.001001	小歌
often	0.001001	小歌
love	0.001001	小歌
unusual	0.001001	小歌
ditty	0.001001	小歌
short	0.001001	小歌
hummable	0.001001	小歌
popular	0.001001	小歌
tune	0.001001	小歌
early	0.001001	小歌
edo	0.001001	小歌
