# word cloud top all for element 正
# token	weight	(optional sources)
seat	0.033190	蓆
weave	0.033190	蓆
mat	0.033190	蓆
long	0.028016	延びる,流眄,長征
glance	0.024893	流眄
gong	0.024893	鉦
hand	0.024893	鉦
bell	0.024893	鉦
flour	0.024893	麺
noodle	0.024893	麺
grain	0.024893	正目
fish	0.016595	蜑
erman	0.016595	蜑
male	0.016595	蜑
diver	0.016595	蜑
smile	0.016595	艶然
march	0.014224	長征
straight	0.012446	正目
quartersawn	0.012446	正目
flirtatious	0.012446	流眄
side	0.012446	流眄
order	0.009335	調う
sweetly	0.008298	艶然
like	0.008298	艶然
beauty	0.008298	艶然
gracious	0.008298	艶然
endlessly	0.008298	蜿蜿
continuously	0.008298	蜿蜿
mean	0.008298	蜿蜿
der	0.008298	蜿蜿
wind	0.008298	蜿蜿
sinu	0.008298	蜿蜿
ous	0.008298	蜿蜿
serpen	0.008298	蜿蜿
tine	0.008298	蜿蜿
lengthy	0.007112	長征
military	0.007112	長征
exp	0.007112	長征
edition	0.007112	長征
oval	0.007112	歪
spend	0.007112	終焉
one	0.007112	終焉
final	0.007112	終焉
year	0.007112	終焉
end	0.007112	終焉
death	0.007112	終焉
demise	0.007112	終焉
ten	0.006324	延びる,正
water	0.006223	垂涎
mouth	0.006223	垂涎
drool	0.006223	垂涎
avid	0.006223	垂涎
desire	0.006223	垂涎
crave	0.006223	垂涎
thirst	0.006223	垂涎
envy	0.006223	垂涎
well	0.006223	調う
original	0.004979	正
thesi	0.004979	正
true	0.004979	正
regular	0.004979	正
thou	0.004979	正
sand	0.004979	正
undecillion	0.004979	正
positive	0.004979	正
greater	0.004979	正
zero	0.004979	正
token	0.004979	証し
evidence	0.004979	証し
proof	0.004979	証し
mark	0.004979	証し
sign	0.004979	証し
symbol	0.004979	証し
emblem	0.004979	証し
badge	0.004979	証し
crest	0.004979	証し
flag	0.004979	証し
put	0.004457	延びる,調う
pro	0.004457	延びる,調う
out	0.004037	延びる
extend	0.004037	延びる
become	0.004037	延びる
coin	0.003556	歪
round	0.003556	歪
wooden	0.003556	歪
container	0.003556	歪
cook	0.003556	歪
rice	0.003556	歪
elliptical	0.003556	歪
shape	0.003556	歪
distort	0.003556	歪
crook	0.003556	歪
irregular	0.003556	歪
warp	0.003556	歪
settle	0.003112	調う
complete	0.003112	調う
adjust	0.003112	調う
regulate	0.003112	調う
refine	0.003112	調う
ready	0.003112	調う
pre	0.003112	調う
pare	0.003112	調う
arrange	0.003112	調う
portion	0.003112	調う
harmonious	0.003112	調う
stretch	0.002691	延びる
lengthen	0.002691	延びる
clerk	0.002489	政所
work	0.002489	政所
large	0.002489	政所
temple	0.002489	政所
shrine	0.002489	政所
government	0.002489	政所
office	0.002489	政所
relate	0.002489	政所
finance	0.002489	政所
official	0.002489	政所
charge	0.002489	政所
administration	0.002489	政所
domain	0.002489	政所
general	0.002489	政所
affair	0.002489	政所
powerful	0.002489	政所
noble	0.002489	政所
family	0.002489	政所
title	0.002489	政所
lady	0.002489	政所
spread	0.001346	延びる
postpone	0.001346	延びる
delay	0.001346	延びる
off	0.001346	延びる
lose	0.001346	延びる
elastic	0.001346	延びる
ity	0.001346	延びる
slack	0.001346	延びる
soggy	0.001346	延びる
straighten	0.001346	延びる
flat	0.001346	延びる
smooth	0.001346	延びる
exhaust	0.001346	延びる
groggy	0.001346	延びる
pas	0.001346	延びる
col	0.001346	延びる
lapse	0.001346	延びる
grow	0.001346	延びる
make	0.001346	延びる
progress	0.001346	延びる
develop	0.001346	延びる
expand	0.001346	延びる
increase	0.001346	延びる
imp	0.001346	延びる
rove	0.001346	延びる
