# word cloud top all for element 毋
# token	weight	(optional sources)
straw	0.055127	莓
berry	0.055127	莓
do	0.030806	莫れ,馴れる
thumb	0.027563	母指
pollex	0.027563	母指
must	0.027563	莫れ
become	0.025401	眩む,馴れる
toe	0.022051	母趾
apple	0.016962	海棠
chin	0.016491	海棠,繁
ese	0.016491	海棠,繁
point	0.015750	貫
kan	0.015750	貫
child	0.013782	保母
care	0.013782	保母
worker	0.013782	保母
kindergarten	0.013782	保母
teacher	0.013782	保母
crab	0.012722	海棠
character	0.012250	繁
mourn	0.011025	悔やむ
lament	0.011025	悔やむ
sorry	0.011025	悔やむ
regret	0.011025	悔やむ
repent	0.011025	悔やむ
big	0.011025	母趾
great	0.011025	母趾
hallex	0.011025	母趾
lose	0.009188	眩む
dark	0.009188	眩む
dazzle	0.009188	眩む
dizzy	0.009188	眩む
disorient	0.009188	眩む
counsel	0.009188	教誨
give	0.009188	教誨
gui	0.009188	教誨
dance	0.009188	教誨
admonishment	0.009188	教誨
scold	0.009188	教誨
exhortation	0.009188	教誨
flower	0.008481	海棠
counter	0.007875	貫
piece	0.007875	貫
sushi	0.007875	貫
condition	0.007350	案配
get	0.006485	馴れる
use	0.006485	馴れる
thank	0.006125	毎度
you	0.006125	毎度
your	0.006125	毎度
continue	0.006125	毎度
patron	0.006125	毎度
age	0.006125	毎度
each	0.006125	毎度
time	0.006125	毎度
alway	0.006125	毎度
often	0.006125	毎度
disdain	0.006125	侮る
look	0.006125	侮る
down	0.006125	侮る
make	0.006125	侮る
light	0.006125	侮る
hold	0.006125	侮る
con	0.006125	侮る
tempt	0.006125	侮る
scorn	0.006125	侮る
despise	0.006125	侮る
traditional	0.006125	繁
unsimplify	0.006125	繁
complex	0.006125	繁
ity	0.006125	繁
frequency	0.006125	繁
trouble	0.006125	繁
abusive	0.005012	毒
language	0.005012	毒
harm	0.005012	毒
evil	0.005012	毒
influence	0.005012	毒
poison	0.005012	毒
toxic	0.005012	毒
ant	0.005012	毒
ill	0.005012	毒
will	0.005012	毒
spite	0.005012	毒
malice	0.005012	毒
kaido	0.004241	海棠
siberian	0.004241	海棠
aronia	0.004241	海棠
health	0.003675	案配
physical	0.003675	案配
state	0.003675	案配
situation	0.003675	案配
season	0.003675	案配
flavour	0.003675	案配
flavor	0.003675	案配
taste	0.003675	案配
arrangement	0.003675	案配
assignment	0.003675	案配
adjustment	0.003675	案配
handle	0.003675	案配
deal	0.003675	案配
skill	0.003243	馴れる
experience	0.003243	馴れる
tame	0.003243	馴れる
domesticate	0.003243	馴れる
grow	0.003243	馴れる
accustom	0.003243	馴れる
familiar	0.003243	馴れる
