# word cloud top all for element 母
# token	weight	(optional sources)
straw	0.134831	莓
berry	0.134831	莓
thumb	0.067416	母指
pollex	0.067416	母指
toe	0.053933	母趾
child	0.033708	保母
care	0.033708	保母
worker	0.033708	保母
kindergarten	0.033708	保母
teacher	0.033708	保母
big	0.026966	母趾
great	0.026966	母趾
hallex	0.026966	母趾
lose	0.022472	眩む
become	0.022472	眩む
dark	0.022472	眩む
dazzle	0.022472	眩む
dizzy	0.022472	眩む
disorient	0.022472	眩む
counsel	0.022472	教誨
give	0.022472	教誨
gui	0.022472	教誨
dance	0.022472	教誨
admonishment	0.022472	教誨
scold	0.022472	教誨
exhortation	0.022472	教誨
