# word cloud top all for element 毎
# token	weight	(optional sources)
straw	0.092600	莓
berry	0.092600	莓
apple	0.028492	海棠
chin	0.027701	海棠,繁
ese	0.027701	海棠,繁
crab	0.021369	海棠
character	0.020578	繁
mourn	0.018520	悔やむ
lament	0.018520	悔やむ
sorry	0.018520	悔やむ
regret	0.018520	悔やむ
repent	0.018520	悔やむ
lose	0.015433	眩む
become	0.015433	眩む
dark	0.015433	眩む
dazzle	0.015433	眩む
dizzy	0.015433	眩む
disorient	0.015433	眩む
counsel	0.015433	教誨
give	0.015433	教誨
gui	0.015433	教誨
dance	0.015433	教誨
admonishment	0.015433	教誨
scold	0.015433	教誨
exhortation	0.015433	教誨
flower	0.014246	海棠
condition	0.012347	案配
thank	0.010289	毎度
you	0.010289	毎度
your	0.010289	毎度
continue	0.010289	毎度
patron	0.010289	毎度
age	0.010289	毎度
each	0.010289	毎度
time	0.010289	毎度
alway	0.010289	毎度
often	0.010289	毎度
disdain	0.010289	侮る
look	0.010289	侮る
down	0.010289	侮る
make	0.010289	侮る
light	0.010289	侮る
hold	0.010289	侮る
con	0.010289	侮る
tempt	0.010289	侮る
scorn	0.010289	侮る
despise	0.010289	侮る
traditional	0.010289	繁
unsimplify	0.010289	繁
complex	0.010289	繁
ity	0.010289	繁
frequency	0.010289	繁
trouble	0.010289	繁
kaido	0.007123	海棠
siberian	0.007123	海棠
aronia	0.007123	海棠
health	0.006173	案配
physical	0.006173	案配
state	0.006173	案配
situation	0.006173	案配
season	0.006173	案配
flavour	0.006173	案配
flavor	0.006173	案配
taste	0.006173	案配
arrangement	0.006173	案配
assignment	0.006173	案配
adjustment	0.006173	案配
handle	0.006173	案配
deal	0.006173	案配
