# word cloud top all for element 比
# token	weight	(optional sources)
black	0.014771	驪竜
dragon	0.014771	驪竜
deer	0.014771	麈尾,麋
one	0.013540	皆んな,考妣,迷う
sieve	0.011817	裏漉し
style	0.010600	廂,楷
become	0.010551	溷濁
all	0.009847	皆んな
castor	0.009847	蓖麻
oil	0.009847	蓖麻
plant	0.009847	蓖麻
stick	0.009847	棍棒,麈尾
cook	0.009847	焜炉
haikai	0.009847	誹諧
brave	0.009847	貔貅
warrior	0.009847	貔貅
ferocious	0.009847	貔貅
leopard	0.009847	貔貅
like	0.009847	貔貅
beast	0.009847	貔貅
large	0.009847	麈尾,麋
giraffe	0.009847	麒麟
horse	0.009847	麒麟
ride	0.009847	麒麟
ri	0.009847	麒麟
day	0.009847	麒麟
qilin	0.009847	麒麟
foot	0.009847	麓
bottom	0.009847	麓
base	0.009847	麓
every	0.009847	皆んな
wind	0.009191	屁,轆轤
absurd	0.008616	篦棒,誹諧
jelly	0.008057	蒟蒻
club	0.007386	棍棒
cudgel	0.007386	棍棒
bludgeon	0.007386	棍棒
guard	0.007386	金毘羅
ian	0.007386	金毘羅
deity	0.007386	金毘羅
sea	0.007386	金毘羅
fare	0.007386	金毘羅
kumbhira	0.007386	金毘羅
fool	0.007386	篦棒
someth	0.006565	屁
worth	0.006565	屁
unreasonable	0.005965	比興,篦棒
press	0.005908	裏漉し
through	0.005908	裏漉し
puree	0.005908	裏漉し
marry	0.005908	伉儷
couple	0.005908	伉儷
spouse	0.005908	伉儷
hus	0.005908	伉儷
band	0.005908	伉儷
wife	0.005908	伉儷
critic	0.005908	非難
ism	0.005908	非難
blame	0.005908	非難
censure	0.005908	非難
attack	0.005908	非難
rep	0.005908	非難
roach	0.005908	非難
lathe	0.005908	轆轤
potter	0.005908	轆轤
wheel	0.005908	轆轤
pulley	0.005908	轆轤
lass	0.005908	轆轤
konnyaku	0.005371	蒟蒻
konjac	0.005371	蒟蒻
devil	0.005371	蒟蒻
tongue	0.005371	蒟蒻
decease	0.004924	考妣
parent	0.004924	考妣
late	0.004924	考妣
mother	0.004924	考妣
father	0.004924	考妣
stave	0.004924	焜炉
burner	0.004924	焜炉
range	0.004924	焜炉
top	0.004924	焜炉
hob	0.004924	焜炉
no	0.004924	誹諧
renga	0.004924	誹諧
com	0.004924	誹諧
ical	0.004924	誹諧
tail	0.004924	麈尾
moose	0.004924	麋
elk	0.004924	麋
red	0.004924	麋
everyth	0.004924	皆んな
body	0.004924	皆んな
ese	0.004692	廂,楷
clean	0.004092	塵,綺麗
lose	0.003693	迷う
idiot	0.003693	篦棒
ish	0.003693	篦棒
extreme	0.003693	篦棒
terrible	0.003693	篦棒
excess	0.003693	篦棒
ive	0.003693	篦棒
low	0.003379	廂,麁品
unripe	0.003282	秕
fruit	0.003282	秕
empty	0.003282	秕
grain	0.003282	秕
husk	0.003282	秕
immature	0.003282	秕
ear	0.003282	秕
hollow	0.003282	秕
object	0.003282	秕
gift	0.003282	麁品
fart	0.003282	屁
gas	0.003282	屁
less	0.003282	屁
consider	0.003282	屁
crap	0.003282	屁
chin	0.002954	楷
pistache	0.002954	楷
regular	0.002954	楷
script	0.002954	楷
square	0.002954	楷
block	0.002954	楷
standard	0.002954	楷
give	0.002872	迷う,麁品
completely	0.002686	綺麗
entirely	0.002686	綺麗
pretty	0.002686	綺麗
lovely	0.002686	綺麗
beautiful	0.002686	綺麗
fair	0.002686	綺麗
clear	0.002686	綺麗
pure	0.002686	綺麗
tidy	0.002686	綺麗
neat	0.002686	綺麗
priest	0.002462	麈尾
flap	0.002462	麈尾
per	0.002462	麈尾
make	0.002462	麈尾
long	0.002462	麈尾
attach	0.002462	麈尾
explicit	0.002272	比興
imply	0.002272	比興
comparison	0.002272	比興
cowardly	0.002272	比興
use	0.002272	比興
under	0.002272	比興
hand	0.002272	比興
method	0.002272	比興
inter	0.002272	比興
est	0.002272	比興
strange	0.002272	比興
lowly	0.002272	比興
insignificant	0.002272	比興
unfavorable	0.002272	比興
muddle	0.002110	溷濁
grow	0.002110	溷濁
dim	0.002110	溷濁
disorder	0.002110	溷濁
chao	0.002110	溷濁
turbid	0.002110	溷濁
muddy	0.002110	溷濁
cloudy	0.002110	溷濁
opaque	0.002110	溷濁
classic	0.001738	廂
japan	0.001738	廂
women	0.001738	廂
pompadour	0.001738	廂
hair	0.001738	廂
narrow	0.001738	廂
aisle	0.001738	廂
surround	0.001738	廂
core	0.001738	廂
temple	0.001738	廂
build	0.001738	廂
awn	0.001738	廂
eav	0.001738	廂
visor	0.001738	廂
brim	0.001738	廂
peak	0.001738	廂
out	0.001641	麁品
company	0.001641	麁品
customer	0.001641	麁品
token	0.001641	麁品
gratitude	0.001641	麁品
market	0.001641	麁品
incentive	0.001641	麁品
inferior	0.001641	麁品
good	0.001641	麁品
quality	0.001641	麁品
arti	0.001641	麁品
cle	0.001641	麁品
small	0.001641	麁品
present	0.001641	麁品
trifle	0.001641	麁品
dust	0.001407	塵
ritual	0.001407	塵
gesture	0.001407	塵
indicate	0.001407	塵
fight	0.001407	塵
will	0.001407	塵
negligible	0.001407	塵
amount	0.001407	塵
tiny	0.001407	塵
bite	0.001407	塵
hustle	0.001407	塵
bustle	0.001407	塵
worldly	0.001407	塵
care	0.001407	塵
impurity	0.001407	塵
world	0.001407	塵
trash	0.001407	塵
garb	0.001407	塵
age	0.001407	塵
rub	0.001407	塵
bish	0.001407	塵
dirt	0.001407	塵
turn	0.001231	迷う
grave	0.001231	迷う
temptation	0.001231	迷う
control	0.001231	迷う
self	0.001231	迷う
way	0.001231	迷う
get	0.001231	迷う
charm	0.001231	迷う
infatuate	0.001231	迷う
captivate	0.001231	迷う
smite	0.001231	迷う
waver	0.001231	迷う
hesitate	0.001231	迷う
two	0.001231	迷う
mind	0.001231	迷う
over	0.001231	迷う
puzzle	0.001231	迷う
perp	0.001231	迷う
lex	0.001231	迷う
