# word cloud top all for element 毛
# token	weight	(optional sources)
milli	0.086509	粍
meter	0.043254	粍
metre	0.043254	粍
tail	0.043254	尾
write	0.028836	揮毫
draw	0.028836	揮毫
paint	0.028836	揮毫
sleigh	0.028836	轌
sled	0.028836	轌
sledge	0.028836	轌
carpet	0.028836	絨緞
rug	0.028836	絨緞
runner	0.028836	絨緞
type	0.023172	毛並み,鞠
foot	0.021627	尾,鞠
ball	0.021627	鞠
age	0.017765	毛並み,耄ける
hachure	0.017302	毳
hatch	0.017302	毳
fluff	0.017302	毳
fuzz	0.017302	毳
nap	0.017302	毳
play	0.016220	耄ける,鞠
exhaust	0.014418	消耗
ion	0.014418	消耗
consumption	0.014418	消耗
use	0.014418	消耗
up	0.014418	消耗
dissipation	0.014418	消耗
waste	0.014418	消耗
coat	0.012358	毛並み
lie	0.012358	毛並み
hair	0.012358	毛並み
line	0.012358	毛並み
breed	0.012358	毛並み
sort	0.012358	毛並み
slope	0.010814	尾
mountain	0.010814	尾
end	0.010814	尾
kemari	0.010814	鞠
courtier	0.010814	鞠
ancient	0.010814	鞠
japan	0.010814	鞠
become	0.010814	耄ける
stupid	0.010814	耄ける
men	0.005407	耄ける
tally	0.005407	耄ける
slow	0.005407	耄ける
befuddle	0.005407	耄ける
engross	0.005407	耄ける
absorb	0.005407	耄ける
grow	0.005407	耄ける
senile	0.005407	耄ける
child	0.005407	耄ける
ish	0.005407	耄ける
say	0.005407	耄ける
someth	0.005407	耄ける
