# word cloud top all for element 氏
# token	weight	(optional sources)
citizen	0.037275	市民,蒼氓
public	0.037275	市民,蒼氓
people	0.027956	蒼氓
lie	0.026209	睡る
marriage	0.025806	雑婚
less	0.023769	底抜け,闇い
older	0.017972	首
dark	0.017657	闇い
residence	0.016774	邸
estate	0.016774	邸
ground	0.016774	邸
premise	0.016774	邸
mansion	0.016774	邸
down	0.014898	舐める,闇い
write	0.013978	草紙
head	0.011981	首
lick	0.010484	舐める
sleep	0.010484	睡る
bourgeoisie	0.009319	市民
middle	0.009319	市民
class	0.009319	市民
city	0.009319	市民
inhabit	0.009319	市民
ant	0.009319	市民
townspeople	0.009319	市民
citizenry	0.009319	市民
ordinary	0.006989	大抵
probably	0.006989	大抵
most	0.006989	大抵
almost	0.006989	大抵
all	0.006989	大抵
proper	0.006989	大抵
appropriate	0.006989	大抵
mode	0.006989	大抵
rate	0.006989	大抵
mostly	0.006989	大抵
ordinarily	0.006989	大抵
usu	0.006989	大抵
ally	0.006989	大抵
gene	0.006989	大抵
rally	0.006989	大抵
text	0.006989	草紙
entirely	0.006989	草紙
kana	0.006989	草紙
graphic	0.006989	草紙
novel	0.006989	草紙
note	0.006989	草紙
book	0.006989	草紙
rough	0.006989	草紙
draft	0.006989	草紙
work	0.006989	草紙
mix	0.006451	雑婚
inter	0.006451	雑婚
racial	0.006451	雑婚
miscegenation	0.006451	雑婚
promiscuity	0.006451	雑婚
promiscuous	0.006451	雑婚
sexual	0.006451	雑婚
relation	0.006451	雑婚
communal	0.006451	雑婚
group	0.006451	雑婚
bottom	0.006451	底抜け
extremely	0.006451	底抜け
heavy	0.006451	底抜け
drinker	0.006451	底抜け
free	0.006451	底抜け
fall	0.006451	底抜け
imprudent	0.006451	底抜け
indiscreet	0.006451	底抜け
undisciplin	0.006451	底抜け
care	0.006451	底抜け
unbound	0.006451	底抜け
bound	0.006451	底抜け
extreme	0.006451	底抜け
uninhibit	0.006451	底抜け
eldest	0.005991	首
son	0.005991	首
person	0.005991	首
skill	0.005991	首
craftsman	0.005991	首
clan	0.005991	首
region	0.005991	首
brother	0.005991	首
sister	0.005991	首
close	0.005242	睡る
one	0.005242	睡る
eye	0.005242	睡る
die	0.005242	睡る
rest	0.005242	睡る
idle	0.005242	睡る
unus	0.005242	睡る
untapp	0.005242	睡る
untouch	0.005242	睡る
experience	0.005242	舐める
taste	0.005242	舐める
burn	0.005242	舐める
lap	0.005242	舐める
suck	0.005242	舐める
look	0.005242	舐める
make	0.005242	舐める
fun	0.005242	舐める
put	0.005242	舐める
treat	0.005242	舐める
con	0.005242	舐める
tempt	0.005242	舐める
under	0.005242	舐める
estimate	0.005242	舐める
dull	0.004414	闇い
unfamiliar	0.004414	闇い
ignorant	0.004414	闇い
gloomy	0.004414	闇い
murky	0.004414	闇い
ill	0.004414	闇い
bode	0.004414	闇い
suspicious	0.004414	闇い
unlikely	0.004414	闇い
hope	0.004414	闇い
unpromise	0.004414	闇い
depress	0.004414	闇い
dispirit	0.004414	闇い
dump	0.004414	闇い
