# word cloud top all for element 氺
# token	weight	(optional sources)
fall	0.024963	氷瀑
good	0.020802	好逑
spouse	0.020802	好逑
black	0.017830	黒漆
freeze	0.016642	氷瀑
water	0.016642	氷瀑
ion	0.014264	小康,爆発
ball	0.014183	球,鞠
azalea	0.013868	黐躑躅
japan	0.012135	鞠,黐躑躅
record	0.011887	記録
sub	0.011887	隷属
fish	0.011887	鮟鱇
lacquer	0.011887	黒漆
recharge	0.010401	涵養
cultivation	0.010401	涵養
foster	0.010401	涵養
development	0.010401	涵養
make	0.009381	曝す,裘
less	0.008544	亂暴,糟糠
explosion	0.008321	爆発
erupt	0.008321	爆発
righteous	0.008321	慷慨
indignation	0.008321	慷慨
patriotic	0.008321	慷慨
lamentation	0.008321	慷慨
deploration	0.008321	慷慨
ice	0.008321	氷瀑
eye	0.006934	靉靆
glass	0.006934	靉靆
dark	0.006934	靉靆
gloomy	0.006934	靉靆
trail	0.006934	靉靆
thick	0.006934	靉靆
heavy	0.006934	靉靆
rhododendron	0.006934	黐躑躅
macrosepalum	0.006934	黐躑躅
ese	0.006934	黐躑躅
renge	0.006934	黐躑躅
happy	0.006934	泰平
go	0.006934	泰平
lucky	0.006934	泰平
peace	0.006934	泰平
tranquil	0.006934	泰平
ity	0.006934	泰平
tranquillity	0.006934	泰平
clothe	0.006934	裘
down	0.006934	裘
bird	0.006934	裘
fur	0.006934	裘
coat	0.006934	裘
con	0.006401	輔ける
tribute	0.006401	輔ける
pro	0.006401	輔ける
jet	0.005943	黒漆
object	0.005943	黒漆
document	0.005943	記録
result	0.005943	記録
remiss	0.005943	小康
become	0.005943	小康
stable	0.005943	小康
lull	0.005943	小康
breathe	0.005943	小康
spell	0.005943	小康
respite	0.005943	小康
chaff	0.005943	糟糠
bran	0.005943	糟糠
plain	0.005943	糟糠
food	0.005943	糟糠
worth	0.005943	糟糠
thing	0.005943	糟糠
trifle	0.005943	糟糠
ordinate	0.005943	隷属
underl	0.005943	隷属
ordination	0.005943	隷属
servitude	0.005943	隷属
servility	0.005943	隷属
vassal	0.005943	隷属
age	0.005943	隷属
slavery	0.005943	隷属
curve	0.005943	鮟鱇
gutter	0.005943	鮟鱇
fool	0.005943	鮟鱇
goose	0.005943	鮟鱇
monk	0.005943	鮟鱇
sea	0.005943	鮟鱇
devil	0.005943	鮟鱇
wild	0.005201	亂暴
kemari	0.005201	鞠
type	0.005201	鞠
foot	0.005201	鞠
play	0.005201	鞠
courtier	0.005201	鞠
ancient	0.005201	鞠
assault	0.005201	亂暴
public	0.004895	曝す
out	0.004160	爆発
burst	0.004160	爆発
detonation	0.004160	爆発
blast	0.004160	爆発
blow	0.004160	爆発
up	0.004160	爆発
help	0.003200	輔ける
assist	0.003200	輔ける
save	0.003200	輔ける
rescue	0.003200	輔ける
spare	0.003200	輔ける
support	0.003200	輔ける
vide	0.003200	輔ける
aid	0.003200	輔ける
facilitate	0.003200	輔ける
stimulate	0.003200	輔ける
mote	0.003200	輔ける
purchase	0.002972	求める
buy	0.002972	求める
want	0.002972	求める
wish	0.002972	求める
request	0.002972	求める
demand	0.002972	求める
require	0.002972	求める
ask	0.002972	求める
seek	0.002972	求める
search	0.002972	求める
look	0.002972	求める
pursue	0.002972	求める
hunt	0.002972	求める
find	0.002972	求める
minute	0.002972	記録
score	0.002972	記録
set	0.002972	記録
show	0.002972	記録
reach	0.002972	記録
value	0.002972	記録
rape	0.002600	亂暴
sexual	0.002600	亂暴
violence	0.002600	亂暴
rowdiness	0.002600	亂暴
ness	0.002600	亂暴
run	0.002600	亂暴
riot	0.002600	亂暴
rough	0.002600	亂暴
reckless	0.002600	亂暴
care	0.002600	亂暴
coarse	0.002600	亂暴
rude	0.002600	亂暴
unreasonable	0.002600	亂暴
drop	0.002521	球
bead	0.002521	球
person	0.002521	球
expose	0.002447	曝す
sentence	0.002447	曝す
humiliation	0.002447	曝す
bleach	0.002447	曝す
refine	0.002447	曝す
rinse	0.002447	曝す
soak	0.002447	曝す
doxx	0.002447	曝す
dox	0.002447	曝す
some	0.002447	曝す
one	0.002447	曝す
private	0.002447	曝す
information	0.002447	曝す
without	0.002447	曝す
per	0.002447	曝す
mission	0.002447	曝す
bulb	0.001261	球
bullet	0.001261	球
coin	0.001261	球
egg	0.001261	球
female	0.001261	球
entertainer	0.001261	球
item	0.001261	球
fund	0.001261	球
use	0.001261	球
part	0.001261	球
plot	0.001261	球
len	0.001261	球
okonomiyaki	0.001261	球
pile	0.001261	球
character	0.001261	球
let	0.001261	球
gem	0.001261	球
jewel	0.001261	球
pearl	0.001261	球
preci	0.001261	球
ous	0.001261	球
beautiful	0.001261	球
excellent	0.001261	球
sphere	0.001261	球
globe	0.001261	球
orb	0.001261	球
