# word cloud top all for element 渋
# token	weight	(optional sources)
stingy	0.041667	澁い
tight	0.041667	澁い
fist	0.041667	澁い
sour	0.041667	澁い
glum	0.041667	澁い
grim	0.041667	澁い
sullen	0.041667	澁い
sulky	0.041667	澁い
astringent	0.041667	澁い
bitter	0.041667	澁い
puckery	0.041667	澁い
rough	0.041667	澁い
harsh	0.041667	澁い
tart	0.041667	澁い
austere	0.041667	澁い
elegant	0.041667	澁い
refine	0.041667	澁い
quiet	0.041667	澁い
sober	0.041667	澁い
sombre	0.041667	澁い
subdue	0.041667	澁い
tasteful	0.041667	澁い
under	0.041667	澁い
state	0.041667	澁い
