# word cloud top all for element 火
# token	weight	(optional sources)
fire	0.023343	兵燹,炎上,炬火,焙烙,煖炉,燧,狼煙,鉄火
smoke	0.019224	燻ぶる,狼煙,禁煙
burn	0.016319	灸点,焼ける,燎原,燔祭
artillery	0.015693	砲熕
light	0.013717	灯火,炬火,燭,薄口,食う
ion	0.013423	炎上,焔,爆発,禁煙,談議
flame	0.009750	炎上,焔,焼ける
up	0.009685	炎上,煩さい,煽る,燗,爆発
ese	0.009154	楸,鰍
explosion	0.008370	炸裂,爆発
cook	0.008116	炊く,焜炉,焼ける
gleam	0.007847	灯火,燦めく
sculpin	0.007847	鰍
stave	0.007847	焜炉,煖炉
offer	0.007847	燔祭
barbarian	0.007847	夷狄
alien	0.007847	夷狄
reed	0.007847	蘆荻
swing	0.007847	鞦韆
trapeze	0.007847	鞦韆
live	0.007629	燠火,燻ぶる,食う,鶯谷
glow	0.007462	灯火,焼ける,燠火
burst	0.006800	炸裂,爆発
japan	0.006539	楸,鰍
warm	0.006277	燗
sake	0.006277	燗
torch	0.006277	炬火
place	0.006277	煖炉,畠
violent	0.006277	炸裂,鉄火
prohibit	0.006277	禁煙
clean	0.005707	煤払い
make	0.005675	燧,薄口,食う,餅餤
be	0.005667	終熄,鶯谷
lamp	0.005231	灯火,燭
field	0.005231	燎原,畠
cat	0.005231	楸
alpa	0.005231	楸
carpet	0.005231	絨緞
rug	0.005231	絨緞
runner	0.005231	絨緞
glitter	0.005231	燦めく
sparkle	0.005231	燦めく
twinkle	0.005231	燦めく
glisten	0.005231	燦めく
glint	0.005231	燦めく
hearth	0.005231	煖炉
cause	0.005231	兵燹
war	0.005231	兵燹
char	0.004969	焙烙,燠火
coal	0.004969	焙烙,燠火
ness	0.004783	労災,憂え,灰汁
carbonate	0.004708	炭酸
drill	0.004708	燧,錬る
stone	0.004708	石畳み
signal	0.004708	狼煙
hot	0.004211	し烈,焼ける,鉄火
work	0.004147	労災,錬る
gun	0.004054	鉄火,鉄砲
anxiety	0.004042	憂え,苦勞
blaze	0.003923	焔
pass	0.003923	焔
hand	0.003923	燧
bright	0.003923	炳然
shin	0.003923	炳然
clear	0.003923	炳然
evident	0.003923	炳然
have	0.003923	終熄
end	0.003923	終熄
resolve	0.003923	終熄
ember	0.003923	燠火
silver	0.003923	蘆荻
grass	0.003923	蘆荻
flu	0.003923	鰍
vial	0.003923	鰍
ill	0.003736	労災,憂え
hard	0.003669	し烈,苦勞
time	0.003596	秋,食う
valley	0.003487	鶯谷
warbler	0.003487	鶯谷
recovery	0.003487	恢復
moxa	0.003487	灸点
cut	0.003363	し烈,餅餤
relate	0.003363	労災
bitter	0.003288	し烈,灰汁
erupt	0.003139	爆発
pave	0.003139	石畳み
bon	0.003139	炬火
pine	0.003139	炬火
brand	0.003139	炬火
start	0.003139	狼煙
agri	0.003139	燎原
cultural	0.003139	燎原
set	0.003139	燎原
ablaze	0.003139	燎原
no	0.003139	禁煙
abstain	0.003139	禁煙
quit	0.003139	禁煙
taste	0.003139	灰汁
boil	0.003083	炊く,餅餤
red	0.003016	焼ける,鉄火
house	0.002853	煤払い
illumination	0.002616	灯火
lamentation	0.002616	憂え
mourn	0.002616	憂え
grief	0.002616	憂え
angu	0.002616	憂え
ish	0.002616	憂え
mal	0.002616	楸
lotu	0.002616	楸
