# word cloud top all for element 灬
# token	weight	(optional sources)
horse	0.015298	単騎,駑馬,駒,駟,駻馬,駿足,騅,麒麟
ese	0.011643	巻繊,羈縻,鵤,鵼,鶉,鶯,鷽
black	0.011401	巻繊,烏鷺,驪竜,黒い,黝い,黯然
gull	0.010974	鷗
japan	0.010957	巻繊,鵤,鵼,鶉,鶯,鷽
bird	0.010288	鵙,鵬,鶺鴒
person	0.008917	為る,熊羆,馬鹿,駑馬,駿足,鵼,鶴首
part	0.008436	点,鷓鴣
large	0.008231	駘蕩,鵬
mule	0.008231	騾馬
francolin	0.008231	鷓鴣
ridge	0.008231	鷓鴣
palomino	0.008231	鴾毛
winter	0.008231	鷦鷯
wren	0.008231	鷦鷯
smoke	0.007202	燻ぶる,薫製
one	0.007092	単騎,嶋,燻ぶる,騙る,騷ぐ
crow	0.006859	烏鵲,烏鷺,鶏鳴
camel	0.006584	駱駝
long	0.006271	真っしぐら,鶴首,鶺鴒
feng	0.006173	鵬
huang	0.006173	鵬
peng	0.006173	鵬
grebe	0.005487	鳰
bull	0.005487	鵙,鷽
quail	0.005487	鶉
hen	0.005487	鷭
station	0.005487	驛
become	0.005237	沸騰,為る,焦げ付く,馴れる
brown	0.005076	ひよ鳥,駱駝,鶯
pigeon	0.004982	ハト胸,鴿
run	0.004762	点,馳せる,駈ける,駸駸
way	0.004713	点,無理,驛
make	0.004672	為る,駱駝,騷ぐ
thrush	0.004527	虎鶫,鵼
no	0.004304	嘸,無理,駄目,鳥渡,黙り
down	0.004184	煮詰る,熟す,羈縻,驟雨
potter	0.004115	窯元
pottery	0.004115	窯元
slight	0.004115	微醺
intoxication	0.004115	微醺
sudden	0.004115	驟雨
dragon	0.004115	驪竜
barbarian	0.004115	鴃舌
jabber	0.004115	鴃舌
dive	0.004115	鴿
grosbeak	0.004115	鵤
white	0.004115	烏鷺,虎鶫,鵼
finch	0.004115	鷽
up	0.004102	沸騰,熱い,蒸返す,騷ぐ
drive	0.003919	馭する,馳せる
stop	0.003351	駄目,駐まる
red	0.003292	赤カブ
quickly	0.003233	馳せる,駸駸
four	0.003201	単騎,駟
manage	0.003155	熟す,馭する
tail	0.003155	鵼,鶺鴒
force	0.003135	無理,闖入
sun	0.003135	和煦,黒い
little	0.003118	鳥渡,鳰
ish	0.003116	馬鹿,駱駝,鶯,黒い
land	0.003086	潟,碼頭
cook	0.003086	割烹,鳴門
head	0.002959	真っしぐら,鵙,鵼
get	0.002912	喫驚,焦げ付く,馴れる
come	0.002899	煮詰る,駐まる,鳥渡
neck	0.002785	ハト胸,鶴首
bear	0.002744	熊羆
valiant	0.002744	熊羆
common	0.002744	鷗
mew	0.002744	鷗
sea	0.002744	鷗
wood	0.002744	樵夫
cutter	0.002744	樵夫
lumber	0.002744	樵夫
jack	0.002744	樵夫
logger	0.002744	樵夫
restaurant	0.002744	割烹
cuisine	0.002744	割烹
warmth	0.002744	和煦
spring	0.002744	和煦
intrusion	0.002744	闖入
entry	0.002744	闖入
control	0.002744	馭する
veteran	0.002744	驍将
general	0.002744	驍将
leader	0.002744	驍将
duck	0.002744	鴨
any	0.002744	鶺鴒
family	0.002744	鶺鴒
motacillidae	0.002744	鶺鴒
wag	0.002744	鶺鴒
claw	0.002744	鶺鴒
shrike	0.002744	鵙
ear	0.002744	ひよ鳥
bulbul	0.002744	ひよ鳥
european	0.002744	烏鵲
magpie	0.002744	烏鵲
osprey	0.002744	鶚
fish	0.002744	鶚
hawk	0.002744	鶚
moor	0.002744	鷭
water	0.002744	鷭
gallinule	0.002744	鷭
rail	0.002744	驛
ride	0.002548	馳せる,麒麟
warbler	0.002515	鶯,鶯谷
go	0.002469	烏鷺,験する
piece	0.002469	熟す,駒
item	0.002410	如何物,点,鶴首
tidal	0.002401	潟,鳴門
inferior	0.002352	駑馬
advance	0.002352	駈ける
charge	0.002352	駈ける
gallop	0.002352	駈ける
canter	0.002352	駈ける
dash	0.002352	駈ける
race	0.002352	駈ける
full	0.002352	真っしぐら
eye	0.002352	黛
brow	0.002352	黛
hot	0.002352	熱い
dock	0.002315	巻繊,碼頭
place	0.002222	為る,碼頭
exchange	0.002222	交驩,為る
do	0.002220	為る,熟す,頼む,馴れる
day	0.002195	鶏鳴,麒麟
mark	0.002195	点,鴨
use	0.002067	為る,熟す,馴れる,駄目
twist	0.002058	撚り
mexico	0.002058	墨
mohism	0.002058	墨
ink	0.002058	墨
tattoo	0.002058	墨
astonish	0.002058	喫驚,憮然
com	0.002058	照らす
pare	0.002058	照らす
refer	0.002058	照らす
shine	0.002058	照らす
illuminate	0.002058	照らす
food	0.002058	薫製
wharf	0.002058	碼頭
bridge	0.002058	駒
foal	0.002058	駒
palanquin	0.002058	駕籠
litter	0.002058	駕籠
bier	0.002058	駕籠
kago	0.002058	駕籠
wide	0.002058	駘蕩
peaceful	0.002058	駘蕩
calm	0.002058	駘蕩
shower	0.002058	驟雨
pour	0.002058	驟雨
courtesy	0.002058	交驩
fraternization	0.002058	交驩
fraternisation	0.002058	交驩
scaly	0.002058	虎鶫
eurasian	0.002058	鷽
surprise	0.002058	喫驚
self	0.002023	燻ぶる,羈縻,騙る
must	0.002004	嘸,駄目
break	0.002004	熟す,駄目,鶏鳴
swindle	0.001999	騙る,鴨る
disappoint	0.001943	憮然,黯然
great	0.001919	巻繊,駸駸,駿足
dark	0.001894	黒い,黙り,黯然
boil	0.001852	沸騰,煮詰る
hand	0.001829	単騎,搔き撫でる
remain	0.001829	焦げ付く,鶯谷
valley	0.001829	鶯谷
out	0.001811	為る,騙る
fast	0.001809	馳せる,駿足
point	0.001798	点,駄目
