# word cloud top all for element 爪
# token	weight	(optional sources)
handle	0.065385	撮み
claw	0.036325	爪牙
pinch	0.032692	撮み
pick	0.032692	撮み
harvest	0.032692	撮み
snack	0.032692	撮み
side	0.032692	撮み
dish	0.032692	撮み
knob	0.032692	撮み
button	0.032692	撮み
someth	0.019231	笊
full	0.019231	笊
hole	0.019231	笊
zaru	0.019231	笊
soba	0.019231	笊
strong	0.019231	笊
drinker	0.019231	笊
some	0.019231	笊
one	0.019231	笊
who	0.019231	笊
drink	0.019231	笊
like	0.019231	笊
fish	0.019231	笊
drain	0.019231	笊
basket	0.019231	笊
colander	0.019231	笊
strainer	0.019231	笊
sieve	0.019231	笊
right	0.018162	爪牙
hand	0.018162	爪牙
man	0.018162	爪牙
fang	0.018162	爪牙
tusk	0.018162	爪牙
pawn	0.018162	爪牙
stooge	0.018162	爪牙
cat	0.018162	爪牙
paw	0.018162	爪牙
clutch	0.018162	爪牙
devious	0.018162	爪牙
design	0.018162	爪牙
mean	0.018162	爪牙
cause	0.018162	爪牙
harm	0.018162	爪牙
weapon	0.018162	爪牙
