# word cloud top all for element 片
# token	weight	(optional sources)
letter	0.057592	簡牘
miss	0.057592	簡牘
ive	0.057592	簡牘
note	0.057592	簡牘
ion	0.047120	版
edit	0.031414	版
mark	0.031414	符牒
card	0.019197	牌
dharani	0.019197	牌
write	0.019197	牌
notice	0.019197	牌
board	0.019197	牌
tile	0.019197	牌
medal	0.019197	牌
shield	0.019197	牌
badge	0.019197	牌
off	0.015707	片付ける
away	0.015707	片付ける
some	0.015707	片付ける
one	0.015707	片付ける
up	0.015707	片付ける
put	0.015707	片付ける
price	0.015707	符牒
symbol	0.015707	符牒
sign	0.015707	符牒
secret	0.015707	符牒
language	0.015707	符牒
code	0.015707	符牒
cipher	0.015707	符牒
argot	0.015707	符牒
pas	0.015707	符牒
sword	0.015707	符牒
counter	0.015707	版
publication	0.015707	版
plate	0.015707	版
block	0.015707	版
cast	0.015707	版
version	0.015707	版
print	0.015707	版
impress	0.015707	版
implementation	0.015707	版
marry	0.007853	片付ける
do	0.007853	片付ける
bump	0.007853	片付ける
finish	0.007853	片付ける
bring	0.007853	片付ける
someth	0.007853	片付ける
end	0.007853	片付ける
settle	0.007853	片付ける
clear	0.007853	片付ける
tidy	0.007853	片付ける
order	0.007853	片付ける
straighten	0.007853	片付ける
