# word cloud top all for element 牙
# token	weight	(optional sources)
spirit	0.038631	谺
tree	0.038631	谺
clover	0.023179	萩
echo	0.019316	谺
reverberation	0.019316	谺
wonder	0.016556	訝る
puzzle	0.016556	訝る
one	0.016556	訝る
self	0.016556	訝る
feel	0.016556	訝る
anxious	0.016556	訝る
suspect	0.016556	訝る
doubt	0.016556	訝る
elegant	0.016556	優雅
graceful	0.016556	優雅
refine	0.016556	優雅
leisurely	0.016556	優雅
comfort	0.016556	優雅
able	0.016556	優雅
easy	0.016556	優雅
care	0.016556	優雅
free	0.016556	優雅
claw	0.012877	爪牙
hagi	0.011589	萩
dark	0.011589	萩
red	0.011589	萩
exterior	0.011589	萩
blue	0.011589	萩
interior	0.011589	萩
bush	0.011589	萩
japan	0.011589	萩
ese	0.011589	萩
demon	0.011589	邪魔
who	0.011589	邪魔
put	0.009658	穿つ
wear	0.009658	穿つ
hit	0.009658	穿つ
mark	0.009658	穿つ
get	0.009658	穿つ
heart	0.009658	穿つ
true	0.009658	穿つ
drill	0.009658	穿つ
bore	0.009658	穿つ
pierce	0.009658	穿つ
pas	0.009658	穿つ
through	0.009658	穿つ
become	0.009658	冴える
clear	0.009658	冴える
right	0.006439	爪牙
hand	0.006439	爪牙
man	0.006439	爪牙
fang	0.006439	爪牙
tusk	0.006439	爪牙
pawn	0.006439	爪牙
stooge	0.006439	爪牙
cat	0.006439	爪牙
paw	0.006439	爪牙
clutch	0.006439	爪牙
devious	0.006439	爪牙
design	0.006439	爪牙
mean	0.006439	爪牙
cause	0.006439	爪牙
harm	0.006439	爪牙
weapon	0.006439	爪牙
visit	0.005795	邪魔
hinder	0.005795	邪魔
buddhist	0.005795	邪魔
train	0.005795	邪魔
obstruct	0.005795	邪魔
sentient	0.005795	邪魔
being	0.005795	邪魔
maintain	0.005795	邪魔
moral	0.005795	邪魔
behaviour	0.005795	邪魔
hind	0.005795	邪魔
rance	0.005795	邪魔
obstacle	0.005795	邪魔
nuisance	0.005795	邪魔
disturbance	0.005795	邪魔
interrupt	0.005795	邪魔
ion	0.005795	邪魔
interference	0.005795	邪魔
satisfy	0.004829	冴える
frigid	0.004829	冴える
intensely	0.004829	冴える
cold	0.004829	冴える
look	0.004829	冴える
upbeat	0.004829	冴える
perky	0.004829	冴える
cheerful	0.004829	冴える
master	0.004829	冴える
excel	0.004829	冴える
cleanly	0.004829	冴える
execute	0.004829	冴える
bright	0.004829	冴える
vivid	0.004829	冴える
crisp	0.004829	冴える
head	0.004829	冴える
alert	0.004829	冴える
ball	0.004829	冴える
wide	0.004829	冴える
awake	0.004829	冴える
