# word cloud top all for element 牛
# token	weight	(optional sources)
sacrifice	0.032313	犠牲
palomino	0.032313	鴾毛
bright	0.021542	皓皓
broad	0.021542	皓皓
empty	0.021542	皓皓
one	0.018815	名告る,物,瞳
buddha	0.016157	牟尼
muni	0.016157	牟尼
victim	0.016157	犠牲
casualty	0.016157	犠牲
eye	0.010771	瞳
pupil	0.010771	瞳
spade	0.010771	鋤
plough	0.010771	鋤
plow	0.010771	鋤
ese	0.009911	褌,鉾
show	0.008952	犒う,造る
lean	0.008078	靠れる
appreciation	0.008078	犒う
thank	0.008078	犒う
reward	0.008078	犒う
cellar	0.008078	窖
cave	0.008078	窖
hole	0.008078	窖
grind	0.008078	窖
long	0.007603	鉾
handle	0.007603	鉾
chin	0.007603	鉾
spear	0.007603	鉾
farm	0.007181	牧場
beef	0.006463	牛屋
female	0.006463	雌
wife	0.006463	雌
woman	0.006463	雌
smaller	0.006463	雌
weaker	0.006463	雌
heavy	0.005655	非道い,靠れる
make	0.004928	褌,造る
draw	0.004830	牽く,造る
counter	0.004616	件
mess	0.004616	件
age	0.004616	件
if	0.004616	確か
under	0.004616	褌
character	0.004616	牴牾
mock	0.004616	牴牾
sell	0.004474	名告る,牛屋
less	0.004308	牢人,非道い
hus	0.004039	雄
band	0.004039	雄
male	0.004039	雄
man	0.004039	雄
larger	0.004039	雄
greater	0.004039	雄
manly	0.004039	雄
brave	0.004039	雄
heroic	0.004039	雄
lie	0.004039	靠れる
uneasily	0.004039	靠れる
digest	0.004039	靠れる
against	0.004039	靠れる
recline	0.004039	靠れる
grip	0.003802	鉾
bow	0.003802	鉾
parade	0.003802	鉾
float	0.003802	鉾
decorate	0.003802	鉾
weapon	0.003802	鉾
arm	0.003802	鉾
lance	0.003802	鉾
pike	0.003802	鉾
self	0.003728	名告る
pas	0.003590	牧場
ture	0.003590	牧場
meadow	0.003590	牧場
graze	0.003590	牧場
land	0.003590	牧場
stock	0.003590	牧場
ranch	0.003590	牧場
station	0.003590	牧場
item	0.003483	件,物
out	0.003463	名告る,牢人,造る
cow	0.003231	牛屋
farmer	0.003231	牛屋
cowsh	0.003231	牛屋
restaurant	0.003231	牛屋
specialize	0.003231	牛屋
dish	0.003231	牛屋
store	0.003231	牛屋
com	0.003181	牴牾,造る
rem	0.003077	確か
ember	0.003077	確か
collision	0.002938	觝触
con	0.002938	觝触
tact	0.002938	觝触
touch	0.002938	觝触
infringement	0.002938	觝触
contravention	0.002938	觝触
run	0.002938	觝触
afoul	0.002938	觝触
conflict	0.002938	觝触
inconsistency	0.002938	觝触
incompatibility	0.002938	觝触
contra	0.002938	觝触
diction	0.002938	觝触
etc	0.002896	件,物
person	0.002693	牢人
call	0.002486	名告る
name	0.002486	名告る
up	0.002406	牽く,造る
thing	0.002350	物
use	0.002350	物
kimono	0.002308	褌
skirt	0.002308	褌
wrestler	0.002308	褌
ornamental	0.002308	褌
apron	0.002308	褌
fundoshi	0.002308	褌
loin	0.002308	褌
cloth	0.002308	褌
traditional	0.002308	褌
japan	0.002308	褌
men	0.002308	褌
garment	0.002308	褌
length	0.002308	褌
cotton	0.002308	褌
om	0.002308	阿呍
aun	0.002308	阿呍
syllable	0.002308	阿呍
rep	0.002308	阿呍
resent	0.002308	阿呍
primordial	0.002308	阿呍
trinity	0.002308	阿呍
vishnu	0.002308	阿呍
shiva	0.002308	阿呍
brahma	0.002308	阿呍
inspiration	0.002308	阿呍
expiration	0.002308	阿呍
respiration	0.002308	阿呍
alpha	0.002308	阿呍
omega	0.002308	阿呍
ical	0.002308	牴牾
who	0.002308	牴牾
ape	0.002308	牴牾
main	0.002308	牴牾
critic	0.002308	牴牾
ism	0.002308	牴牾
censure	0.002308	牴牾
like	0.002308	牴牾
pseudo	0.002308	牴牾
imitation	0.002308	牴牾
style	0.002308	牴牾
email	0.002308	件
text	0.002308	件
voice	0.002308	件
mail	0.002308	件
account	0.002308	件
matter	0.002308	件
affair	0.002308	件
case	0.002308	件
subject	0.002308	件
give	0.002116	名告る,造る
pull	0.001978	牽く
back	0.001978	牽く
work	0.001934	牢人,物
sub	0.001906	物,牽く
some	0.001763	物
indicate	0.001763	物
pre	0.001747	造る
pare	0.001747	造る
very	0.001616	非道い
bad	0.001616	非道い
terrible	0.001616	非道い
awful	0.001616	非道い
cruel	0.001616	非道い
heart	0.001616	非道い
hard	0.001616	非道い
harsh	0.001616	非道い
severe	0.001616	非道い
violent	0.001616	非道い
intense	0.001616	非道い
strong	0.001616	非道い
extreme	0.001616	非道い
excess	0.001616	非道い
ive	0.001616	非道い
exorbitant	0.001616	非道い
unreasonable	0.001616	非道い
outrage	0.001616	非道い
ous	0.001616	非道い
unfair	0.001616	非道い
unjust	0.001616	非道い
i'm	0.001539	確か
mistake	0.001539	確か
correctly	0.001539	確か
rightly	0.001539	確か
sure	0.001539	確か
certain	0.001539	確か
positive	0.001539	確か
definite	0.001539	確か
reliable	0.001539	確か
trust	0.001539	確か
worthy	0.001539	確か
safe	0.001539	確か
sound	0.001539	確か
firm	0.001539	確か
accurate	0.001539	確か
correct	0.001539	確か
exact	0.001539	確か
raise	0.001533	牽く,造る
emotion	0.001461	物,造る
high	0.001346	牢人
school	0.001346	牢人
graduate	0.001346	牢人
wait	0.001346	牢人
another	0.001346	牢人
chance	0.001346	牢人
enter	0.001346	牢人
university	0.001346	牢人
after	0.001346	牢人
have	0.001346	牢人
fail	0.001346	牢人
yearly	0.001346	牢人
entrance	0.001346	牢人
examination	0.001346	牢人
job	0.001346	牢人
ronin	0.001346	牢人
master	0.001346	牢人
samurai	0.001346	牢人
wanderer	0.001346	牢人
drifter	0.001346	牢人
recede	0.001319	牽く
ebb	0.001319	牽く
good	0.001243	名告る
adopt	0.001243	名告る
take	0.001243	名告る
introduce	0.001243	名告る
reveal	0.001243	名告る
admit	0.001243	名告る
be	0.001243	名告る
claim	0.001243	名告る
wear	0.001243	名告る
title	0.001243	名告る
cause	0.001175	物
reason	0.001175	物
someth	0.001175	物
commit	0.000873	造る
fabricate	0.000873	造る
form	0.000873	造る
set	0.000873	造る
