# word cloud top all for element 由
# token	weight	(optional sources)
bow	0.028279	舳先
prow	0.028279	舳先
glaze	0.028279	釉薬
enamel	0.028279	釉薬
flap	0.018853	袖
sleeve	0.018853	袖
wing	0.018853	袖
coal	0.016159	炭鉱
mine	0.016159	炭鉱
land	0.015425	荒れ野
color	0.015082	黄葉
side	0.014140	横
bamboo	0.014140	笛竹
flute	0.014140	笛竹
base	0.014140	由る
shaft	0.012430	炭鉱,軸
hang	0.011420	宙ぶらりん,軸
make	0.010605	届く,笛竹
point	0.010415	軸,鼬ごっこ
desert	0.010283	荒れ野
wild	0.010283	荒れ野
pit	0.008080	炭鉱
colliery	0.008080	炭鉱
house	0.008080	蚰蜒
centipede	0.008080	蚰蜒
contemptible	0.008080	蚰蜒
person	0.008080	蚰蜒
skunk	0.008080	蚰蜒
wretch	0.008080	蚰蜒
louse	0.008080	蚰蜒
autumn	0.007541	黄葉
leaf	0.007541	黄葉
head	0.007070	由る
quarter	0.007070	由る
come	0.007070	由る
due	0.007070	由る
cause	0.007070	由る
depend	0.007070	由る
turn	0.007070	由る
get	0.007070	届く
dangle	0.007070	宙ぶらりん
suspend	0.007070	宙ぶらりん
pend	0.007070	宙ぶらりん
half	0.007070	宙ぶらりん
do	0.007070	宙ぶらりん
limbo	0.007070	宙ぶらりん
indecisive	0.007070	宙ぶらりん
wind	0.007070	笛竹
string	0.007070	笛竹
instrument	0.007070	笛竹
drawer	0.006284	抽斗
variety	0.006284	抽斗
know	0.006284	抽斗
ledge	0.006284	抽斗
experience	0.006284	抽斗
useful	0.006284	抽斗
handle	0.006284	抽斗
thing	0.006284	抽斗
impromptu	0.006284	抽斗
withdrawal	0.006284	抽斗
tsumugi	0.006284	紬
pongee	0.006284	紬
traditional	0.006284	紬
rough	0.006284	紬
surf	0.006284	紬
ace	0.006284	紬
cloth	0.006284	紬
weave	0.006284	紬
raw	0.006284	紬
silk	0.006284	紬
gokko	0.005142	鼬ごっこ
waste	0.005142	荒れ野
wilderness	0.005142	荒れ野
prairie	0.005142	荒れ野
vast	0.005142	荒れ野
plain	0.005142	荒れ野
form	0.004713	画く
certain	0.004713	画く
shape	0.004713	画く
depict	0.004713	画く
describe	0.004713	画く
pic	0.004713	画く
ture	0.004713	画く
one	0.004713	画く
mind	0.004713	画く
imagine	0.004713	画く
draw	0.004713	画く
paint	0.004713	画く
sketch	0.004713	画く
unconnect	0.004713	横
horizontal	0.004713	横
lie	0.004713	横
down	0.004713	横
beside	0.004713	横
aside	0.004713	横
next	0.004713	横
width	0.004713	横
breadth	0.004713	横
scroll	0.004351	軸
stalk	0.004351	軸
stem	0.004351	軸
axi	0.004351	軸
axle	0.004351	軸
center	0.004351	軸
centre	0.004351	軸
focal	0.004351	軸
key	0.004351	軸
layer	0.003771	黄葉
garment	0.003771	黄葉
resemble	0.003771	黄葉
maple	0.003771	黄葉
veni	0.003771	黄葉
son	0.003771	黄葉
red	0.003771	黄葉
change	0.003771	黄葉
deliver	0.003535	届く
arrive	0.003535	届く
attentive	0.003535	届く
scrupulous	0.003535	届く
thorough	0.003535	届く
reach	0.003535	届く
touch	0.003535	届く
carry	0.003535	届く
realize	0.003535	届く
fulfil	0.003535	届く
through	0.003535	届く
appreciate	0.003535	届く
impress	0.003535	届く
ion	0.003535	届く
itachi	0.003428	鼬ごっこ
game	0.003428	鼬ごっこ
back	0.003428	鼬ごっこ
other	0.003428	鼬ごっこ
edo	0.001714	鼬ごっこ
period	0.001714	鼬ごっこ
child	0.001714	鼬ごっこ
two	0.001714	鼬ごっこ
player	0.001714	鼬ごっこ
alternately	0.001714	鼬ごっこ
pinch	0.001714	鼬ごっこ
hand	0.001714	鼬ごっこ
stack	0.001714	鼬ごっこ
top	0.001714	鼬ごっこ
each	0.001714	鼬ごっこ
while	0.001714	鼬ごっこ
say	0.001714	鼬ごっこ
nezumi	0.001714	鼬ごっこ
go	0.001714	鼬ごっこ
round	0.001714	鼬ごっこ
circle	0.001714	鼬ごっこ
cat	0.001714	鼬ごっこ
mouse	0.001714	鼬ごっこ
less	0.001714	鼬ごっこ
repetitive	0.001714	鼬ごっこ
forth	0.001714	鼬ごっこ
